# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of second jet
XLabel=$p_\perp(\text{jet 2})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}p_\perp(\text{jet 2})$ [pb/GeV]
LogX=1
XMin=20.0
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_2
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_2
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_2
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_2
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.079581e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.079581e+01	1.165495e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.165495e+01	1.258246e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.258246e+01	1.358378e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.358378e+01	1.466479e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.466479e+01	1.583182e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.583182e+01	1.709173e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.709173e+01	1.845191e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.845191e+01	1.992032e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.992032e+01	2.150560e+01	2.445966e+05	2.029475e+05	2.029475e+05
2.150560e+01	2.321703e+01	7.349813e+04	3.075127e+04	3.075127e+04
2.321703e+01	2.506466e+01	4.712007e+04	1.966912e+04	1.966912e+04
2.506466e+01	2.705933e+01	2.266462e+05	1.678868e+05	1.678868e+05
2.705933e+01	2.921273e+01	8.339765e+04	7.103688e+04	7.103688e+04
2.921273e+01	3.153751e+01	1.694473e+04	9.750476e+03	9.750476e+03
3.153751e+01	3.404729e+01	3.654912e+03	1.791108e+03	1.791108e+03
3.404729e+01	3.675680e+01	1.942313e+04	7.274941e+03	7.274941e+03
3.675680e+01	3.968193e+01	1.582725e+04	7.104560e+03	7.104560e+03
3.968193e+01	4.283985e+01	3.354626e+04	1.482557e+04	1.482557e+04
4.283985e+01	4.624908e+01	1.652690e+04	1.023144e+04	1.023144e+04
4.624908e+01	4.992962e+01	1.176260e+03	5.118835e+02	5.118835e+02
4.992962e+01	5.390306e+01	3.806938e+03	1.110519e+03	1.110519e+03
5.390306e+01	5.819271e+01	8.094859e+02	4.066586e+02	4.066586e+02
5.819271e+01	6.282374e+01	1.449520e+03	6.450864e+02	6.450864e+02
6.282374e+01	6.782330e+01	7.627985e+02	2.616487e+02	2.616487e+02
6.782330e+01	7.322073e+01	6.311074e+02	2.021594e+02	2.021594e+02
7.322073e+01	7.904770e+01	1.133648e+03	3.147072e+02	3.147072e+02
7.904770e+01	8.533838e+01	2.535389e+02	1.089634e+02	1.089634e+02
8.533838e+01	9.212968e+01	3.179966e+02	1.142223e+02	1.142223e+02
9.212968e+01	9.946143e+01	1.723609e+02	5.646484e+01	5.646484e+01
9.946143e+01	1.073767e+02	1.161775e+02	3.863072e+01	3.863072e+01
1.073767e+02	1.159218e+02	5.429180e+01	1.932239e+01	1.932239e+01
1.159218e+02	1.251469e+02	3.478138e+01	1.774193e+01	1.774193e+01
1.251469e+02	1.351062e+02	1.173898e+01	6.561268e+00	6.561268e+00
1.351062e+02	1.458581e+02	1.087117e+01	4.390344e+00	4.390344e+00
1.458581e+02	1.574656e+02	1.685475e+01	5.933944e+00	5.933944e+00
1.574656e+02	1.699968e+02	7.455331e+00	3.991376e+00	3.991376e+00
1.699968e+02	1.835253e+02	5.255282e+00	3.314633e+00	3.314633e+00
1.835253e+02	1.981304e+02	3.651151e+00	1.302327e+00	1.302327e+00
1.981304e+02	2.138978e+02	1.341309e+00	6.938685e-01	6.938685e-01
2.138978e+02	2.309199e+02	6.064164e-01	3.313100e-01	3.313100e-01
2.309199e+02	2.492967e+02	4.585104e-01	2.316848e-01	2.316848e-01
2.492967e+02	2.691360e+02	2.058885e-01	1.559949e-01	1.559949e-01
2.691360e+02	2.905540e+02	2.036410e-01	1.188265e-01	1.188265e-01
2.905540e+02	3.136765e+02	1.099582e-01	7.867709e-02	7.867709e-02
3.136765e+02	3.386392e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.386392e+02	3.655884e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.655884e+02	3.946822e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.946822e+02	4.260913e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.260913e+02	4.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

