# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of third jet
XLabel=$p_\perp(\text{jet 3})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}p_\perp(\text{jet 3})$ [pb/GeV]
LogX=1
XMin=20.0
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_3
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_3
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_3
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_3
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.113270e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.113270e+01	1.239371e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.239371e+01	1.379754e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.379754e+01	1.536039e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.536039e+01	1.710027e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.710027e+01	1.903722e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.903722e+01	2.119357e+01	1.876369e+04	1.016280e+04	1.016280e+04
2.119357e+01	2.359417e+01	3.994492e+02	1.548919e+02	1.548919e+02
2.359417e+01	2.626668e+01	7.572986e+03	4.828343e+03	4.828343e+03
2.626668e+01	2.924191e+01	9.675356e+02	4.755278e+02	4.755278e+02
2.924191e+01	3.255415e+01	1.073874e+03	5.041165e+02	5.041165e+02
3.255415e+01	3.624157e+01	5.632236e+02	3.933145e+02	3.933145e+02
3.624157e+01	4.034665e+01	1.134338e+02	5.115493e+01	5.115493e+01
4.034665e+01	4.491673e+01	3.856261e+02	2.920487e+02	2.920487e+02
4.491673e+01	5.000445e+01	1.329839e+02	1.042674e+02	1.042674e+02
5.000445e+01	5.566847e+01	1.056366e+02	4.702290e+01	4.702290e+01
5.566847e+01	6.197404e+01	2.227997e+02	1.589628e+02	1.589628e+02
6.197404e+01	6.899386e+01	9.437809e+01	6.080011e+01	6.080011e+01
6.899386e+01	7.680880e+01	4.259641e+00	2.585220e+00	2.585220e+00
7.680880e+01	8.550895e+01	8.883073e+00	8.654108e+00	8.654108e+00
8.550895e+01	9.519456e+01	6.379621e-01	3.794809e-01	3.794809e-01
9.519456e+01	1.059773e+02	1.018239e+00	1.018239e+00	1.018239e+00
1.059773e+02	1.179813e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.179813e+02	1.313451e+02	1.166816e-01	1.166817e-01	1.166817e-01
1.313451e+02	1.462226e+02	2.917617e+00	2.917617e+00	2.917617e+00
1.462226e+02	1.627852e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.627852e+02	1.812240e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.812240e+02	2.017512e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.017512e+02	2.246036e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.246036e+02	2.500445e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.500445e+02	2.783671e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.783671e+02	3.098978e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.098978e+02	3.450000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

