# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of fourth jet
XLabel=$p_\perp(\text{jet 4})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}p_\perp(\text{jet 4})$ [pb/GeV]
LogX=1
XMin=20.0
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_4
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_4
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_4
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_4
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.141922e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.141922e+01	1.303985e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.303985e+01	1.489049e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.489049e+01	1.700378e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.700378e+01	1.941699e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.941699e+01	2.217268e+01	6.119952e+01	4.983720e+01	4.983720e+01
2.217268e+01	2.531947e+01	1.922802e+02	1.176527e+02	1.176527e+02
2.531947e+01	2.891285e+01	1.468628e+02	8.536135e+01	8.536135e+01
2.891285e+01	3.301621e+01	1.124939e+02	9.432473e+01	9.432473e+01
3.301621e+01	3.770193e+01	4.852456e+02	3.429047e+02	3.429047e+02
3.770193e+01	4.305266e+01	2.985591e+01	2.956896e+01	2.956896e+01
4.305266e+01	4.916277e+01	3.355918e+00	3.355918e+00	3.355918e+00
4.916277e+01	5.614004e+01	1.967128e+01	1.967128e+01	1.967128e+01
5.614004e+01	6.410754e+01	1.848542e+00	1.456138e+00	1.456138e+00
6.410754e+01	7.320579e+01	4.167521e+01	4.167521e+01	4.167521e+01
7.320579e+01	8.359529e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.359529e+01	9.545928e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.545928e+01	1.090070e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.090070e+02	1.244775e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.244775e+02	1.421436e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.421436e+02	1.623169e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.623169e+02	1.853532e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.853532e+02	2.116588e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.116588e+02	2.416978e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.416978e+02	2.760000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

