# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of first jet
XLabel=$y(\text{jet 1})$
YLabel=$\text{d}\sigma/\text{d}y(\text{jet 1})$ [pb]
LegendYPos=0.5
LegendXPos=0.3
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_1
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_1
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_1
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_1
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	9.173000e+05	9.173001e+05	9.173001e+05
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	1.875235e+06	1.875235e+06	1.875235e+06
-3.600000e+00	-3.400000e+00	3.637539e+06	2.361685e+06	2.361685e+06
-3.400000e+00	-3.200000e+00	2.294195e+06	1.414973e+06	1.414973e+06
-3.200000e+00	-3.000000e+00	8.176055e+05	5.908217e+05	5.908217e+05
-3.000000e+00	-2.800000e+00	2.636376e+05	2.170415e+05	2.170415e+05
-2.800000e+00	-2.600000e+00	5.579625e+05	3.265185e+05	3.265185e+05
-2.600000e+00	-2.400000e+00	1.620219e+06	1.034827e+06	1.034827e+06
-2.400000e+00	-2.200000e+00	4.333126e+06	2.285419e+06	2.285419e+06
-2.200000e+00	-2.000000e+00	2.847052e+06	2.201174e+06	2.201174e+06
-2.000000e+00	-1.800000e+00	3.688940e+06	2.832799e+06	2.832799e+06
-1.800000e+00	-1.600000e+00	8.466380e+05	5.072859e+05	5.072859e+05
-1.600000e+00	-1.400000e+00	1.961980e+05	1.184584e+05	1.184584e+05
-1.400000e+00	-1.200000e+00	6.243095e+05	3.312266e+05	3.312266e+05
-1.200000e+00	-1.000000e+00	3.008307e+06	1.376839e+06	1.376839e+06
-1.000000e+00	-8.000000e-01	4.161189e+05	1.281492e+05	1.281492e+05
-8.000000e-01	-6.000000e-01	5.533405e+05	1.794244e+05	1.794244e+05
-6.000000e-01	-4.000000e-01	8.432695e+05	5.310607e+05	5.310607e+05
-4.000000e-01	-2.000000e-01	1.239154e+06	5.696769e+05	5.696769e+05
-2.000000e-01	0.000000e+00	5.608295e+05	2.776963e+05	2.776963e+05
0.000000e+00	2.000000e-01	6.727700e+05	2.781227e+05	2.781227e+05
2.000000e-01	4.000000e-01	3.373940e+06	2.498257e+06	2.498257e+06
4.000000e-01	6.000000e-01	2.200426e+06	1.067540e+06	1.067540e+06
6.000000e-01	8.000000e-01	3.951961e+06	2.426399e+06	2.426399e+06
8.000000e-01	1.000000e+00	2.343184e+06	1.825617e+06	1.825617e+06
1.000000e+00	1.200000e+00	5.121335e+05	1.838996e+05	1.838996e+05
1.200000e+00	1.400000e+00	2.636758e+06	1.536667e+06	1.536667e+06
1.400000e+00	1.600000e+00	8.100145e+05	4.210411e+05	4.210411e+05
1.600000e+00	1.800000e+00	2.986329e+05	1.789991e+05	1.789991e+05
1.800000e+00	2.000000e+00	5.910645e+05	3.414209e+05	3.414209e+05
2.000000e+00	2.200000e+00	2.646123e+06	1.908756e+06	1.908756e+06
2.200000e+00	2.400000e+00	6.012780e+05	2.700048e+05	2.700048e+05
2.400000e+00	2.600000e+00	1.161436e+06	9.256475e+05	9.256475e+05
2.600000e+00	2.800000e+00	2.768390e+05	2.627629e+05	2.627629e+05
2.800000e+00	3.000000e+00	2.551226e+05	1.521274e+05	1.521274e+05
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	3.236221e+06	2.630824e+06	2.630824e+06
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	5.440245e+06	5.440246e+06	5.440246e+06
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

