# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of second jet
XLabel=$y(\text{jet 2})$
YLabel=$\text{d}\sigma/\text{d}y(\text{jet 2})$ [pb]
LegendYPos=0.5
LegendXPos=0.3
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_2
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_2
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_2
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_2
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.800000e+00	2.390700e+04	2.057916e+04	2.057916e+04
-2.800000e+00	-2.600000e+00	2.763322e+05	2.142816e+05	2.142816e+05
-2.600000e+00	-2.400000e+00	1.125106e+04	9.986374e+03	9.986374e+03
-2.400000e+00	-2.200000e+00	1.016381e+05	9.721992e+04	9.721992e+04
-2.200000e+00	-2.000000e+00	1.824323e+06	1.655197e+06	1.655197e+06
-2.000000e+00	-1.800000e+00	3.918719e+03	2.671743e+03	2.671743e+03
-1.800000e+00	-1.600000e+00	3.521924e+04	1.964381e+04	1.964381e+04
-1.600000e+00	-1.400000e+00	1.257017e+05	7.361379e+04	7.361379e+04
-1.400000e+00	-1.200000e+00	4.119740e+04	2.088288e+04	2.088288e+04
-1.200000e+00	-1.000000e+00	1.318270e+05	4.438074e+04	4.438074e+04
-1.000000e+00	-8.000000e-01	1.690182e+05	1.006715e+05	1.006715e+05
-8.000000e-01	-6.000000e-01	1.054521e+05	8.405167e+04	8.405167e+04
-6.000000e-01	-4.000000e-01	1.402745e+05	6.630386e+04	6.630386e+04
-4.000000e-01	-2.000000e-01	5.280620e+05	2.310429e+05	2.310429e+05
-2.000000e-01	0.000000e+00	2.547513e+05	1.734795e+05	1.734795e+05
0.000000e+00	2.000000e-01	1.553091e+05	6.487031e+04	6.487031e+04
2.000000e-01	4.000000e-01	2.989030e+05	2.040193e+05	2.040193e+05
4.000000e-01	6.000000e-01	9.038775e+05	7.679673e+05	7.679673e+05
6.000000e-01	8.000000e-01	2.961030e+05	1.773671e+05	1.773671e+05
8.000000e-01	1.000000e+00	2.134449e+05	1.129383e+05	1.129383e+05
1.000000e+00	1.200000e+00	8.849610e+04	2.761493e+04	2.761493e+04
1.200000e+00	1.400000e+00	1.755891e+06	1.604357e+06	1.604357e+06
1.400000e+00	1.600000e+00	6.773405e+04	3.844832e+04	3.844832e+04
1.600000e+00	1.800000e+00	5.529945e+04	2.647234e+04	2.647234e+04
1.800000e+00	2.000000e+00	1.640039e+04	8.389692e+03	8.389692e+03
2.000000e+00	2.200000e+00	1.814066e+05	1.653912e+05	1.653912e+05
2.200000e+00	2.400000e+00	1.825951e+04	1.825951e+04	1.825951e+04
2.400000e+00	2.600000e+00	1.110026e+05	7.036956e+04	7.036956e+04
2.600000e+00	2.800000e+00	2.966036e+04	2.097859e+04	2.097859e+04
2.800000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

