# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of third jet
XLabel=$y(\text{jet 3})$
YLabel=$\text{d}\sigma/\text{d}y(\text{jet 3})$ [pb]
LegendYPos=0.5
LegendXPos=0.3
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_3
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_3
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_3
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_3
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.000000e+00	4.799733e+02	4.153642e+02	4.153642e+02
-3.000000e+00	-2.600000e+00	2.692333e+03	2.345041e+03	2.345041e+03
-2.600000e+00	-2.200000e+00	4.780610e+04	4.673344e+04	4.673344e+04
-2.200000e+00	-1.800000e+00	6.715160e+03	5.458450e+03	5.458450e+03
-1.800000e+00	-1.400000e+00	7.381915e+02	6.023098e+02	6.023098e+02
-1.400000e+00	-1.000000e+00	5.419468e+02	2.481354e+02	2.481354e+02
-1.000000e+00	-6.000000e-01	5.387080e+04	3.581481e+04	3.581481e+04
-6.000000e-01	-2.000000e-01	5.079873e+03	2.284921e+03	2.284921e+03
-2.000000e-01	2.000000e-01	1.565907e+04	8.275332e+03	8.275332e+03
2.000000e-01	6.000000e-01	6.433597e+03	3.481207e+03	3.481207e+03
6.000000e-01	1.000000e+00	1.098933e+04	4.452115e+03	4.452115e+03
1.000000e+00	1.400000e+00	8.848995e+03	4.615475e+03	4.615475e+03
1.400000e+00	1.800000e+00	2.275251e+03	2.135592e+03	2.135592e+03
1.800000e+00	2.200000e+00	2.535965e+04	2.171129e+04	2.171129e+04
2.200000e+00	2.600000e+00	1.528201e+03	1.191612e+03	1.191612e+03
2.600000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.400000e+00	6.975000e+02	5.788973e+02	5.788973e+02
3.400000e+00	3.800000e+00	6.978748e+01	6.978747e+01	6.978747e+01
3.800000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

