# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity $+/-$ ratio of first jet
XLabel=$|y(\text{jet 1}|$
YLabel=$y(\text{jet 1})_+/y(\text{jet 1})_-$
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_pmratio_1
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_pmratio_1
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_pmratio_1
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_pmratio_1
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.199598e+00	7.737880e-01	7.737880e-01
2.000000e-01	4.000000e-01	2.722776e+00	2.373080e+00	2.373080e+00
4.000000e-01	6.000000e-01	2.609399e+00	2.074389e+00	2.074389e+00
6.000000e-01	8.000000e-01	7.142007e+00	4.958969e+00	4.958969e+00
8.000000e-01	1.000000e+00	5.631045e+00	4.717546e+00	4.717546e+00
1.000000e+00	1.200000e+00	1.702397e-01	9.903392e-02	9.903392e-02
1.200000e+00	1.400000e+00	4.223478e+00	3.328578e+00	3.328578e+00
1.400000e+00	1.600000e+00	4.128554e+00	3.289202e+00	3.289202e+00
1.600000e+00	1.800000e+00	3.527281e-01	2.989435e-01	2.989435e-01
1.800000e+00	2.000000e+00	1.602261e-01	1.539640e-01	1.539640e-01
2.000000e+00	2.200000e+00	9.294256e-01	9.827678e-01	9.827678e-01
2.200000e+00	2.400000e+00	1.387631e-01	9.612080e-02	9.612080e-02
2.400000e+00	2.600000e+00	7.168391e-01	7.321300e-01	7.321300e-01
2.600000e+00	2.800000e+00	4.961607e-01	5.532473e-01	5.532473e-01
2.800000e+00	3.000000e+00	9.677021e-01	9.836897e-01	9.836897e-01
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	1.410613e+00	1.439415e+00	1.439415e+00
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	2.901100e+00	4.102776e+00	4.102776e+00
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

