# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity $+/-$ ratio of second jet
XLabel=$|y(\text{jet 2}|$
YLabel=$y(\text{jet 2})_+/y(\text{jet 2})_-$
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_pmratio_2
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_pmratio_2
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_pmratio_2
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_y_pmratio_2
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.096499e-01	4.870295e-01	4.870295e-01
2.000000e-01	4.000000e-01	5.660378e-01	4.589170e-01	4.589170e-01
4.000000e-01	6.000000e-01	6.443636e+00	6.264927e+00	6.264927e+00
6.000000e-01	8.000000e-01	2.807939e+00	2.799659e+00	2.799659e+00
8.000000e-01	1.000000e+00	1.262852e+00	1.006120e+00	1.006120e+00
1.000000e+00	1.200000e+00	6.713050e-01	3.081521e-01	3.081521e-01
1.200000e+00	1.400000e+00	4.262139e+01	4.453464e+01	4.453464e+01
1.400000e+00	1.600000e+00	5.388475e-01	4.394714e-01	4.394714e-01
1.600000e+00	1.800000e+00	1.570149e+00	1.154093e+00	1.154093e+00
1.800000e+00	2.000000e+00	4.185140e+00	3.567265e+00	3.567265e+00
2.000000e+00	2.200000e+00	9.943777e-02	1.279006e-01	1.279006e-01
2.200000e+00	2.400000e+00	1.796523e-01	2.486059e-01	2.486059e-01
2.400000e+00	2.600000e+00	9.865966e+00	1.076119e+01	1.076119e+01
2.600000e+00	2.800000e+00	1.073359e-01	1.126560e-01	1.126560e-01
2.800000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.200000e+00	nan	nan	nan
3.200000e+00	3.400000e+00	nan	nan	nan
3.400000e+00	3.600000e+00	nan	nan	nan
3.600000e+00	3.800000e+00	nan	nan	nan
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	nan	nan	nan
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

