# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta R$ separation between jets
LegendXPos=0.10
LegendYPos=0.5
XLabel=$\Delta{R}(\text{jet 1, jet 3})$
YLabel=$\text{d}\sigma/\text{d}\Delta{R}(\text{jet 1, jet 3})$ [pb]
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_dR_13
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_dR_13
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_dR_13
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_dR_13
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	6.000000e-01	1.129903e+04	1.126050e+04	1.126050e+04
6.000000e-01	8.000000e-01	2.478951e+02	2.274158e+02	2.274158e+02
8.000000e-01	1.000000e+00	1.998713e+03	1.909231e+03	1.909231e+03
1.000000e+00	1.200000e+00	6.361410e+04	6.269721e+04	6.269721e+04
1.200000e+00	1.400000e+00	4.651095e+03	3.579778e+03	3.579778e+03
1.400000e+00	1.600000e+00	3.231968e+03	2.429664e+03	2.429664e+03
1.600000e+00	1.800000e+00	1.459509e+04	9.240280e+03	9.240280e+03
1.800000e+00	2.000000e+00	1.718873e+02	1.395287e+02	1.395287e+02
2.000000e+00	2.200000e+00	1.806934e+03	1.053890e+03	1.053890e+03
2.200000e+00	2.400000e+00	6.583330e+03	2.831069e+03	2.831069e+03
2.400000e+00	2.600000e+00	1.638086e+03	1.109516e+03	1.109516e+03
2.600000e+00	2.800000e+00	4.496438e+04	3.492325e+04	3.492325e+04
2.800000e+00	3.000000e+00	2.407742e+04	1.274199e+04	1.274199e+04
3.000000e+00	3.200000e+00	2.124254e+04	1.085423e+04	1.085423e+04
3.200000e+00	3.400000e+00	1.053977e+05	9.355597e+04	9.355597e+04
3.400000e+00	3.600000e+00	1.510143e+03	8.261678e+02	8.261678e+02
3.600000e+00	3.800000e+00	1.591803e+04	9.249991e+03	9.249991e+03
3.800000e+00	4.000000e+00	4.404402e+04	4.292244e+04	4.292244e+04
4.000000e+00	4.200000e+00	1.280122e+03	1.220711e+03	1.220711e+03
4.200000e+00	4.400000e+00	8.587760e+03	8.268747e+03	8.268747e+03
4.400000e+00	4.600000e+00	2.715810e+02	2.715810e+02	2.715810e+02
4.600000e+00	4.800000e+00	3.487570e+02	2.804760e+02	2.804760e+02
4.800000e+00	5.000000e+00	8.252335e+02	8.252335e+02	8.252335e+02
# END HISTO1D

