# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendYPos=0.5
LegendXPos=0.30
XLabel=$\Delta\eta(\text{jet 2, jet 3})$
YLabel=$\text{d}\sigma/\text{d}\Delta\eta(\text{jet 2, jet 3})$ [pb]
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_deta_23
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_deta_23
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_deta_23
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_deta_23
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	5.630733e+02	5.630733e+02	5.630733e+02
-4.200000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.400000e+00	6.978748e+01	6.978747e+01	6.978747e+01
-3.400000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.600000e+00	1.028892e+03	6.569098e+02	6.569098e+02
-2.600000e+00	-2.200000e+00	4.564250e+03	2.538981e+03	2.538981e+03
-2.200000e+00	-1.800000e+00	3.454292e+03	3.137340e+03	3.137340e+03
-1.800000e+00	-1.400000e+00	7.179620e+02	4.158029e+02	4.158029e+02
-1.400000e+00	-1.000000e+00	2.511240e+04	2.169604e+04	2.169604e+04
-1.000000e+00	-6.000000e-01	1.365886e+04	7.198536e+03	7.198536e+03
-6.000000e-01	-2.000000e-01	2.186636e+04	1.730198e+04	1.730198e+04
-2.000000e-01	2.000000e-01	5.639427e+03	2.468325e+03	2.468325e+03
2.000000e-01	6.000000e-01	9.129802e+03	4.469704e+03	4.469704e+03
6.000000e-01	1.000000e+00	8.489865e+03	5.461602e+03	5.461602e+03
1.000000e+00	1.400000e+00	5.431225e+04	4.704330e+04	4.704330e+04
1.400000e+00	1.800000e+00	1.536667e+03	1.065147e+03	1.065147e+03
1.800000e+00	2.200000e+00	4.010402e+02	2.234961e+02	2.234961e+02
2.200000e+00	2.600000e+00	4.571300e+03	3.553976e+03	3.553976e+03
2.600000e+00	3.000000e+00	6.956180e+02	4.920453e+02	4.920453e+02
3.000000e+00	3.400000e+00	3.352940e+04	3.138374e+04	3.138374e+04
3.400000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.200000e+00	3.188555e+01	3.188554e+01	3.188554e+01
4.200000e+00	4.600000e+00	4.126168e+02	4.126167e+02	4.126167e+02
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

