# BEGIN PLOT
Legend=1
LogY=1
Title=Azimuthal separation between jets
LegendXPos=0.1
XLabel=$\Delta\phi(\text{jet 2, jet 3})$
YLabel=$\text{d}\sigma/\text{d}\Delta\phi(\text{jet 2, jet 3})$ [pb]
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_dphi_23
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_dphi_23
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_dphi_23
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_dphi_23
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	2.728194e+04	1.761174e+04	1.761174e+04
1.256637e-01	2.513274e-01	1.570950e+03	7.726437e+02	7.726437e+02
2.513274e-01	3.769911e-01	1.511369e+03	7.614349e+02	7.614349e+02
3.769911e-01	5.026548e-01	3.705249e+03	1.801901e+03	1.801901e+03
5.026548e-01	6.283185e-01	7.426602e+03	4.275279e+03	4.275279e+03
6.283185e-01	7.539822e-01	5.878447e+04	5.486281e+04	5.486281e+04
7.539822e-01	8.796459e-01	2.004773e+03	1.716727e+03	1.716727e+03
8.796459e-01	1.005310e+00	9.897417e+03	6.140973e+03	6.140973e+03
1.005310e+00	1.130973e+00	1.189528e+04	8.289804e+03	8.289804e+03
1.130973e+00	1.256637e+00	2.546205e+04	1.500351e+04	1.500351e+04
1.256637e+00	1.382301e+00	1.119410e+03	7.025243e+02	7.025243e+02
1.382301e+00	1.507964e+00	8.878238e+03	5.740651e+03	5.740651e+03
1.507964e+00	1.633628e+00	4.478502e+03	2.882831e+03	2.882831e+03
1.633628e+00	1.759292e+00	3.892758e+03	2.406480e+03	2.406480e+03
1.759292e+00	1.884956e+00	1.305168e+04	1.039747e+04	1.039747e+04
1.884956e+00	2.010619e+00	5.304112e+02	5.167230e+02	5.167230e+02
2.010619e+00	2.136283e+00	3.690226e+03	3.457620e+03	3.457620e+03
2.136283e+00	2.261947e+00	6.738689e+02	4.766483e+02	4.766483e+02
2.261947e+00	2.387610e+00	4.603529e+04	2.312580e+04	2.312580e+04
2.387610e+00	2.513274e+00	1.999352e+04	1.799307e+04	1.799307e+04
2.513274e+00	2.638938e+00	1.514598e+05	1.487251e+05	1.487251e+05
2.638938e+00	2.764602e+00	1.042102e+05	9.980984e+04	9.980984e+04
2.764602e+00	2.890265e+00	4.272406e+03	2.153856e+03	2.153856e+03
2.890265e+00	3.015929e+00	1.767648e+04	1.183839e+04	1.183839e+04
3.015929e+00	3.141593e+00	7.460337e+04	6.844766e+04	6.844766e+04
# END HISTO1D

