# BEGIN PLOT
Legend=1
LogY=1
Title=Dijet invariant mass spectrum
XLabel=$m_{jj}$ [GeV]
YLabel=$\text{d}\sigma/\text{d}m_{jj}$ [pb/GeV]
LegendAlign=r
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_mjj
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_mjj
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_mjj
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jets_mjj
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.450000e+01	1.047298e+02	7.045217e+01	7.045217e+01
3.450000e+01	6.900000e+01	6.272032e+03	1.915457e+03	1.915457e+03
6.900000e+01	1.035000e+02	8.044991e+03	4.478992e+03	4.478992e+03
1.035000e+02	1.380000e+02	4.900096e+03	1.511959e+03	1.511959e+03
1.380000e+02	1.725000e+02	1.252270e+04	9.677071e+03	9.677071e+03
1.725000e+02	2.070000e+02	2.294654e+03	1.223521e+03	1.223521e+03
2.070000e+02	2.415000e+02	1.074915e+04	9.321223e+03	9.321223e+03
2.415000e+02	2.760000e+02	9.731545e+02	5.089102e+02	5.089102e+02
2.760000e+02	3.105000e+02	1.292546e+02	7.311860e+01	7.311860e+01
3.105000e+02	3.450000e+02	3.689646e+01	1.664284e+01	1.664284e+01
3.450000e+02	3.795000e+02	5.841009e+01	4.450869e+01	4.450869e+01
3.795000e+02	4.140000e+02	3.079986e+01	2.361758e+01	2.361758e+01
4.140000e+02	4.485000e+02	2.268492e+01	2.120535e+01	2.120535e+01
4.485000e+02	4.830000e+02	8.023107e+00	5.579056e+00	5.579056e+00
4.830000e+02	5.175000e+02	1.395598e+00	1.008004e+00	1.008004e+00
5.175000e+02	5.520000e+02	9.214652e+00	8.753235e+00	8.753235e+00
5.520000e+02	5.865000e+02	1.029850e+01	8.267961e+00	8.267961e+00
5.865000e+02	6.210000e+02	2.019167e-01	1.073541e-01	1.073541e-01
6.210000e+02	6.555000e+02	2.979620e-01	1.818828e-01	1.818828e-01
6.555000e+02	6.900000e+02	1.087136e+00	8.420614e-01	8.420614e-01
6.900000e+02	7.245000e+02	7.713035e-01	5.050858e-01	5.050858e-01
7.245000e+02	7.590000e+02	1.930583e-01	1.930583e-01	1.930583e-01
7.590000e+02	7.935000e+02	4.254846e-02	4.254845e-02	4.254845e-02
7.935000e+02	8.280000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.280000e+02	8.625000e+02	6.777012e-01	6.777011e-01	6.777011e-01
8.625000e+02	8.970000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.970000e+02	9.315000e+02	1.836143e-01	1.836143e-01	1.836143e-01
9.315000e+02	9.660000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.660000e+02	1.000500e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.000500e+03	1.035000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.035000e+03	1.069500e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.069500e+03	1.104000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.104000e+03	1.138500e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.138500e+03	1.173000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.173000e+03	1.207500e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.207500e+03	1.242000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.242000e+03	1.276500e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.276500e+03	1.311000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.311000e+03	1.345500e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.345500e+03	1.380000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

