# BEGIN PLOT
Legend=1
LogY=1
Title=Energy of all particles
XLabel=$E$ [GeV]
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}E$ [GeV$^{-1}$]
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/E
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/E
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/E
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/E
ScaledBy=1.16760370957398102e+08
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.538457e-01	1.738970e-03	1.738970e-03
2.000000e+00	4.000000e+00	9.052720e-02	1.309945e-03	1.309945e-03
4.000000e+00	6.000000e+00	4.729426e-02	9.648014e-04	9.648014e-04
6.000000e+00	8.000000e+00	3.097491e-02	7.791625e-04	7.791625e-04
8.000000e+00	1.000000e+01	2.263842e-02	6.633365e-04	6.633365e-04
1.000000e+01	1.200000e+01	1.849024e-02	5.989055e-04	5.989055e-04
1.200000e+01	1.400000e+01	1.488847e-02	5.402553e-04	5.402553e-04
1.400000e+01	1.600000e+01	1.336599e-02	5.257052e-04	5.257052e-04
1.600000e+01	1.800000e+01	1.145907e-02	4.815351e-04	4.815351e-04
1.800000e+01	2.000000e+01	9.253745e-03	4.330864e-04	4.330864e-04
2.000000e+01	2.200000e+01	8.018820e-03	4.102789e-04	4.102789e-04
2.200000e+01	2.400000e+01	7.657345e-03	4.106082e-04	4.106082e-04
2.400000e+01	2.600000e+01	6.558895e-03	3.793958e-04	3.793958e-04
2.600000e+01	2.800000e+01	5.522890e-03	3.321570e-04	3.321570e-04
2.800000e+01	3.000000e+01	5.217310e-03	3.251394e-04	3.251394e-04
3.000000e+01	3.200000e+01	4.854422e-03	3.241651e-04	3.241651e-04
3.200000e+01	3.400000e+01	4.887858e-03	3.221552e-04	3.221552e-04
3.400000e+01	3.600000e+01	4.648192e-03	3.281030e-04	3.281030e-04
3.600000e+01	3.800000e+01	3.842591e-03	2.903948e-04	2.903948e-04
3.800000e+01	4.000000e+01	3.611518e-03	2.832914e-04	2.832914e-04
4.000000e+01	4.200000e+01	2.644916e-03	2.398382e-04	2.398382e-04
4.200000e+01	4.400000e+01	2.526970e-03	2.260835e-04	2.260835e-04
4.400000e+01	4.600000e+01	2.220562e-03	2.126491e-04	2.126491e-04
4.600000e+01	4.800000e+01	2.007606e-03	1.960918e-04	1.960918e-04
4.800000e+01	5.000000e+01	1.873107e-03	1.965843e-04	1.965843e-04
5.000000e+01	5.200000e+01	1.732763e-03	1.862348e-04	1.862348e-04
5.200000e+01	5.400000e+01	1.548245e-03	1.870828e-04	1.870828e-04
5.400000e+01	5.600000e+01	8.838650e-04	1.273562e-04	1.273562e-04
5.600000e+01	5.800000e+01	1.436895e-03	1.772549e-04	1.772549e-04
5.800000e+01	6.000000e+01	1.168552e-03	1.552083e-04	1.552083e-04
6.000000e+01	6.200000e+01	7.935945e-04	1.176708e-04	1.176708e-04
6.200000e+01	6.400000e+01	7.017915e-04	1.151339e-04	1.151339e-04
6.400000e+01	6.600000e+01	7.371520e-04	1.236564e-04	1.236564e-04
6.600000e+01	6.800000e+01	7.531245e-04	1.253797e-04	1.253797e-04
6.800000e+01	7.000000e+01	6.069080e-04	1.057362e-04	1.057362e-04
7.000000e+01	7.200000e+01	6.476750e-04	1.177925e-04	1.177925e-04
7.200000e+01	7.400000e+01	7.214835e-04	1.382063e-04	1.382063e-04
7.400000e+01	7.600000e+01	4.182446e-04	8.691054e-05	8.691054e-05
7.600000e+01	7.800000e+01	6.878240e-04	1.166192e-04	1.166192e-04
7.800000e+01	8.000000e+01	3.951695e-04	8.159649e-05	8.159649e-05
8.000000e+01	8.200000e+01	3.780529e-04	8.836337e-05	8.836337e-05
8.200000e+01	8.400000e+01	5.392595e-04	1.177518e-04	1.177518e-04
8.400000e+01	8.600000e+01	3.429992e-04	8.940741e-05	8.940741e-05
8.600000e+01	8.800000e+01	3.606340e-04	8.738571e-05	8.738571e-05
8.800000e+01	9.000000e+01	2.886407e-04	8.069052e-05	8.069052e-05
9.000000e+01	9.200000e+01	1.857406e-04	7.185995e-05	7.185995e-05
9.200000e+01	9.400000e+01	2.176927e-04	6.315946e-05	6.315946e-05
9.400000e+01	9.600000e+01	2.180007e-04	6.056961e-05	6.056961e-05
9.600000e+01	9.800000e+01	2.623717e-04	7.332820e-05	7.332820e-05
9.800000e+01	1.000000e+02	3.077979e-04	7.727669e-05	7.727669e-05
1.000000e+02	1.020000e+02	1.286469e-04	5.436561e-05	5.436561e-05
1.020000e+02	1.040000e+02	1.483846e-04	6.153609e-05	6.153609e-05
1.040000e+02	1.060000e+02	1.423409e-04	5.469484e-05	5.469484e-05
1.060000e+02	1.080000e+02	1.951546e-04	5.723919e-05	5.723919e-05
1.080000e+02	1.100000e+02	1.565283e-04	4.232536e-05	4.232536e-05
1.100000e+02	1.120000e+02	9.981550e-05	3.659442e-05	3.659442e-05
1.120000e+02	1.140000e+02	9.851555e-05	3.582484e-05	3.582484e-05
1.140000e+02	1.160000e+02	1.635660e-04	6.238429e-05	6.238429e-05
1.160000e+02	1.180000e+02	1.678907e-04	6.245514e-05	6.245514e-05
1.180000e+02	1.200000e+02	1.068986e-04	3.837058e-05	3.837058e-05
1.200000e+02	1.220000e+02	1.597614e-04	5.912666e-05	5.912666e-05
1.220000e+02	1.240000e+02	1.416391e-04	5.846475e-05	5.846475e-05
1.240000e+02	1.260000e+02	1.190242e-04	4.393096e-05	4.393096e-05
1.260000e+02	1.280000e+02	9.058590e-05	3.319692e-05	3.319692e-05
1.280000e+02	1.300000e+02	8.709060e-05	4.696534e-05	4.696534e-05
1.300000e+02	1.320000e+02	3.374975e-05	2.121029e-05	2.121029e-05
1.320000e+02	1.340000e+02	1.130437e-04	4.868807e-05	4.868807e-05
1.340000e+02	1.360000e+02	1.000760e-04	4.321670e-05	4.321670e-05
1.360000e+02	1.380000e+02	5.844875e-05	4.414770e-05	4.414770e-05
1.380000e+02	1.400000e+02	4.023301e-05	1.736736e-05	1.736736e-05
1.400000e+02	1.420000e+02	1.032557e-04	4.929526e-05	4.929526e-05
1.420000e+02	1.440000e+02	9.077030e-06	5.684815e-06	5.684815e-06
1.440000e+02	1.460000e+02	7.420290e-05	4.346693e-05	4.346693e-05
1.460000e+02	1.480000e+02	4.372658e-05	2.077130e-05	2.077130e-05
1.480000e+02	1.500000e+02	1.329677e-04	5.288764e-05	5.288764e-05
1.500000e+02	1.520000e+02	3.970931e-05	2.693358e-05	2.693358e-05
1.520000e+02	1.540000e+02	7.590125e-05	3.745074e-05	3.745074e-05
1.540000e+02	1.560000e+02	2.778066e-05	1.576208e-05	1.576208e-05
1.560000e+02	1.580000e+02	9.072125e-05	4.734326e-05	4.734326e-05
1.580000e+02	1.600000e+02	4.175627e-05	2.565623e-05	2.565623e-05
1.600000e+02	1.620000e+02	5.588995e-05	2.644546e-05	2.644546e-05
1.620000e+02	1.640000e+02	3.112022e-05	2.058931e-05	2.058931e-05
1.640000e+02	1.660000e+02	3.570506e-05	2.025694e-05	2.025694e-05
1.660000e+02	1.680000e+02	3.055641e-05	2.561397e-05	2.561397e-05
1.680000e+02	1.700000e+02	2.464286e-05	1.791000e-05	1.791000e-05
1.700000e+02	1.720000e+02	1.498279e-05	7.891960e-06	7.891960e-06
1.720000e+02	1.740000e+02	4.419526e-05	3.003920e-05	3.003920e-05
1.740000e+02	1.760000e+02	1.473237e-05	1.079680e-05	1.079680e-05
1.760000e+02	1.780000e+02	6.302825e-05	2.984067e-05	2.984067e-05
1.780000e+02	1.800000e+02	2.438707e-05	1.156395e-05	1.156395e-05
1.800000e+02	1.820000e+02	5.350865e-05	2.747207e-05	2.747207e-05
1.820000e+02	1.840000e+02	6.013280e-05	3.731216e-05	3.731216e-05
1.840000e+02	1.860000e+02	8.671285e-05	3.978861e-05	3.978861e-05
1.860000e+02	1.880000e+02	3.030352e-05	1.244059e-05	1.244059e-05
1.880000e+02	1.900000e+02	1.501713e-05	1.134365e-05	1.134365e-05
1.900000e+02	1.920000e+02	5.022145e-06	3.808584e-06	3.808584e-06
1.920000e+02	1.940000e+02	1.318212e-05	1.153729e-05	1.153729e-05
1.940000e+02	1.960000e+02	1.196187e-05	7.634889e-06	7.634889e-06
1.960000e+02	1.980000e+02	5.981985e-06	3.424759e-06	3.424759e-06
1.980000e+02	2.000000e+02	3.218858e-05	1.721274e-05	1.721274e-05
# END HISTO1D

