# BEGIN PLOT
Legend=1
LogY=1
Title=Energy of charged particles
XLabel=$E$ [GeV]
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}E$ [GeV$^{-1}$]
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/ECh
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/ECh
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/ECh
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/ECh
ScaledBy=4.84070251421719611e+08
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.536742e-01	2.200760e-03	2.200760e-03
2.000000e+00	4.000000e+00	8.860530e-02	1.638452e-03	1.638452e-03
4.000000e+00	6.000000e+00	4.756507e-02	1.229431e-03	1.229431e-03
6.000000e+00	8.000000e+00	3.222266e-02	1.011720e-03	1.011720e-03
8.000000e+00	1.000000e+01	2.326229e-02	8.506772e-04	8.506772e-04
1.000000e+01	1.200000e+01	1.874022e-02	7.700906e-04	7.700906e-04
1.200000e+01	1.400000e+01	1.467308e-02	6.859213e-04	6.859213e-04
1.400000e+01	1.600000e+01	1.371346e-02	6.729656e-04	6.729656e-04
1.600000e+01	1.800000e+01	1.135184e-02	6.168843e-04	6.168843e-04
1.800000e+01	2.000000e+01	9.028120e-03	5.411772e-04	5.411772e-04
2.000000e+01	2.200000e+01	7.666935e-03	5.079592e-04	5.079592e-04
2.200000e+01	2.400000e+01	8.419175e-03	5.626471e-04	5.626471e-04
2.400000e+01	2.600000e+01	6.789110e-03	4.895028e-04	4.895028e-04
2.600000e+01	2.800000e+01	5.266580e-03	4.057258e-04	4.057258e-04
2.800000e+01	3.000000e+01	5.260170e-03	4.124851e-04	4.124851e-04
3.000000e+01	3.200000e+01	4.985420e-03	4.222193e-04	4.222193e-04
3.200000e+01	3.400000e+01	5.121545e-03	4.232435e-04	4.232435e-04
3.400000e+01	3.600000e+01	4.727579e-03	4.191699e-04	4.191699e-04
3.600000e+01	3.800000e+01	3.723818e-03	3.671764e-04	3.671764e-04
3.800000e+01	4.000000e+01	3.522634e-03	3.546201e-04	3.546201e-04
4.000000e+01	4.200000e+01	2.603366e-03	2.992362e-04	2.992362e-04
4.200000e+01	4.400000e+01	2.465097e-03	2.861487e-04	2.861487e-04
4.400000e+01	4.600000e+01	1.929415e-03	2.352553e-04	2.352553e-04
4.600000e+01	4.800000e+01	2.244283e-03	2.737211e-04	2.737211e-04
4.800000e+01	5.000000e+01	1.919415e-03	2.561288e-04	2.561288e-04
5.000000e+01	5.200000e+01	1.668280e-03	2.315861e-04	2.315861e-04
5.200000e+01	5.400000e+01	1.334118e-03	2.141665e-04	2.141665e-04
5.400000e+01	5.600000e+01	9.285290e-04	1.672837e-04	1.672837e-04
5.600000e+01	5.800000e+01	1.256000e-03	2.033657e-04	2.033657e-04
5.800000e+01	6.000000e+01	1.206335e-03	1.961510e-04	1.961510e-04
6.000000e+01	6.200000e+01	7.473245e-04	1.383116e-04	1.383116e-04
6.200000e+01	6.400000e+01	8.400010e-04	1.689841e-04	1.689841e-04
6.400000e+01	6.600000e+01	8.080150e-04	1.635289e-04	1.635289e-04
6.600000e+01	6.800000e+01	6.392485e-04	1.439778e-04	1.439778e-04
6.800000e+01	7.000000e+01	6.420355e-04	1.445063e-04	1.445063e-04
7.000000e+01	7.200000e+01	6.926185e-04	1.575612e-04	1.575612e-04
7.200000e+01	7.400000e+01	6.504845e-04	1.536863e-04	1.536863e-04
7.400000e+01	7.600000e+01	4.808178e-04	1.219263e-04	1.219263e-04
7.600000e+01	7.800000e+01	7.613360e-04	1.505813e-04	1.505813e-04
7.800000e+01	8.000000e+01	4.136216e-04	1.127409e-04	1.127409e-04
8.000000e+01	8.200000e+01	2.831503e-04	8.580963e-05	8.580963e-05
8.200000e+01	8.400000e+01	5.084880e-04	1.385337e-04	1.385337e-04
8.400000e+01	8.600000e+01	3.498044e-04	1.172704e-04	1.172704e-04
8.600000e+01	8.800000e+01	3.313869e-04	9.173567e-05	9.173567e-05
8.800000e+01	9.000000e+01	2.963933e-04	1.145809e-04	1.145809e-04
9.000000e+01	9.200000e+01	2.153935e-04	1.023315e-04	1.023315e-04
9.200000e+01	9.400000e+01	9.209660e-05	3.294748e-05	3.294748e-05
9.400000e+01	9.600000e+01	2.096321e-04	7.154032e-05	7.154032e-05
9.600000e+01	9.800000e+01	2.947066e-04	1.032029e-04	1.032029e-04
9.800000e+01	1.000000e+02	3.977011e-04	1.184420e-04	1.184420e-04
1.000000e+02	1.020000e+02	1.954356e-04	8.674565e-05	8.674565e-05
1.020000e+02	1.040000e+02	1.017906e-04	6.089924e-05	6.089924e-05
1.040000e+02	1.060000e+02	5.129720e-05	3.235139e-05	3.235139e-05
