# BEGIN PLOT
Legend=1
LogY=0
XLabel=$\eta$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\eta$
LegendYPos=0.5
Title=Pseudorapidity of all particles
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Eta
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Eta
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Eta
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Eta
ScaledBy=1.16760370957398102e+08
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	4.107613e-02	2.900979e-03	2.900979e-03
-4.800000e+00	-4.600000e+00	3.959338e-02	2.723638e-03	2.723638e-03
-4.600000e+00	-4.400000e+00	4.553796e-02	2.907654e-03	2.907654e-03
-4.400000e+00	-4.200000e+00	5.811840e-02	3.474491e-03	3.474491e-03
-4.200000e+00	-4.000000e+00	6.900680e-02	3.733405e-03	3.733405e-03
-4.000000e+00	-3.800000e+00	8.380655e-02	4.207541e-03	4.207541e-03
-3.800000e+00	-3.600000e+00	9.282605e-02	4.388186e-03	4.388186e-03
-3.600000e+00	-3.400000e+00	1.147049e-01	4.990994e-03	4.990994e-03
-3.400000e+00	-3.200000e+00	1.256195e-01	5.098725e-03	5.098725e-03
-3.200000e+00	-3.000000e+00	1.149015e-01	4.864168e-03	4.864168e-03
-3.000000e+00	-2.800000e+00	1.047434e-01	4.635556e-03	4.635556e-03
-2.800000e+00	-2.600000e+00	1.072252e-01	4.595574e-03	4.595574e-03
-2.600000e+00	-2.400000e+00	1.132664e-01	4.757994e-03	4.757994e-03
-2.400000e+00	-2.200000e+00	9.682430e-02	4.146223e-03	4.146223e-03
-2.200000e+00	-2.000000e+00	1.103338e-01	4.624203e-03	4.624203e-03
-2.000000e+00	-1.800000e+00	1.140693e-01	4.663276e-03	4.663276e-03
-1.800000e+00	-1.600000e+00	1.125937e-01	4.598115e-03	4.598115e-03
-1.600000e+00	-1.400000e+00	1.230304e-01	4.938373e-03	4.938373e-03
-1.400000e+00	-1.200000e+00	1.195517e-01	4.678739e-03	4.678739e-03
-1.200000e+00	-1.000000e+00	1.155542e-01	4.606248e-03	4.606248e-03
-1.000000e+00	-8.000000e-01	1.137192e-01	4.591728e-03	4.591728e-03
-8.000000e-01	-6.000000e-01	1.207273e-01	4.801364e-03	4.801364e-03
-6.000000e-01	-4.000000e-01	1.157959e-01	4.529660e-03	4.529660e-03
-4.000000e-01	-2.000000e-01	1.164953e-01	4.669889e-03	4.669889e-03
-2.000000e-01	0.000000e+00	1.222687e-01	4.962553e-03	4.962553e-03
0.000000e+00	2.000000e-01	1.244216e-01	4.967394e-03	4.967394e-03
2.000000e-01	4.000000e-01	1.173665e-01	4.694254e-03	4.694254e-03
4.000000e-01	6.000000e-01	1.139828e-01	4.572090e-03	4.572090e-03
6.000000e-01	8.000000e-01	1.224486e-01	4.825477e-03	4.825477e-03
8.000000e-01	1.000000e+00	1.199436e-01	4.699110e-03	4.699110e-03
1.000000e+00	1.200000e+00	1.152630e-01	4.585123e-03	4.585123e-03
1.200000e+00	1.400000e+00	1.192976e-01	4.807102e-03	4.807102e-03
1.400000e+00	1.600000e+00	1.176000e-01	4.717266e-03	4.717266e-03
1.600000e+00	1.800000e+00	1.116815e-01	4.573450e-03	4.573450e-03
1.800000e+00	2.000000e+00	1.177201e-01	4.861694e-03	4.861694e-03
2.000000e+00	2.200000e+00	1.131299e-01	4.747982e-03	4.747982e-03
2.200000e+00	2.400000e+00	1.055036e-01	4.605219e-03	4.605219e-03
2.400000e+00	2.600000e+00	1.086343e-01	4.699438e-03	4.699438e-03
2.600000e+00	2.800000e+00	1.024495e-01	4.591739e-03	4.591739e-03
2.800000e+00	3.000000e+00	1.109562e-01	4.849349e-03	4.849349e-03
3.000000e+00	3.200000e+00	9.361555e-02	4.247147e-03	4.247147e-03
3.200000e+00	3.400000e+00	1.058839e-01	4.690389e-03	4.690389e-03
3.400000e+00	3.600000e+00	9.687890e-02	4.439078e-03	4.439078e-03
3.600000e+00	3.800000e+00	9.879650e-02	4.673982e-03	4.673982e-03
3.800000e+00	4.000000e+00	8.774540e-02	4.288553e-03	4.288553e-03
4.000000e+00	4.200000e+00	7.910035e-02	4.237741e-03	4.237741e-03
4.200000e+00	4.400000e+00	6.475405e-02	3.860366e-03	3.860366e-03
4.400000e+00	4.600000e+00	6.104500e-02	3.696141e-03	3.696141e-03
4.600000e+00	4.800000e+00	5.132980e-02	3.373569e-03	3.373569e-03
4.800000e+00	5.000000e+00	4.906195e-02	3.323166e-03	3.323166e-03
# END HISTO1D

