# BEGIN PLOT
Legend=1
LogY=0
XLabel=$\eta$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\eta$
LegendYPos=0.5
Title=Pseudorapidity of charged particles
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaCh
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaCh
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaCh
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaCh
ScaledBy=4.84070251421719611e+08
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	4.417830e-02	3.920480e-03	3.920480e-03
-4.800000e+00	-4.600000e+00	3.576228e-02	3.244675e-03	3.244675e-03
-4.600000e+00	-4.400000e+00	4.602920e-02	3.734922e-03	3.734922e-03
-4.400000e+00	-4.200000e+00	5.467060e-02	4.307747e-03	4.307747e-03
-4.200000e+00	-4.000000e+00	6.866315e-02	4.709158e-03	4.709158e-03
-4.000000e+00	-3.800000e+00	8.416285e-02	5.404540e-03	5.404540e-03
-3.800000e+00	-3.600000e+00	9.484890e-02	5.671118e-03	5.671118e-03
-3.600000e+00	-3.400000e+00	1.164691e-01	6.330620e-03	6.330620e-03
-3.400000e+00	-3.200000e+00	1.232950e-01	6.381659e-03	6.381659e-03
-3.200000e+00	-3.000000e+00	1.099967e-01	5.979701e-03	5.979701e-03
-3.000000e+00	-2.800000e+00	1.052346e-01	5.857606e-03	5.857606e-03
-2.800000e+00	-2.600000e+00	1.112686e-01	5.936563e-03	5.936563e-03
-2.600000e+00	-2.400000e+00	1.134966e-01	6.097141e-03	6.097141e-03
-2.400000e+00	-2.200000e+00	9.678870e-02	5.294972e-03	5.294972e-03
-2.200000e+00	-2.000000e+00	1.094017e-01	5.865055e-03	5.865055e-03
-2.000000e+00	-1.800000e+00	1.191418e-01	5.983179e-03	5.983179e-03
-1.800000e+00	-1.600000e+00	1.104083e-01	5.740198e-03	5.740198e-03
-1.600000e+00	-1.400000e+00	1.139061e-01	5.838546e-03	5.838546e-03
-1.400000e+00	-1.200000e+00	1.159381e-01	5.809746e-03	5.809746e-03
-1.200000e+00	-1.000000e+00	1.154152e-01	5.788178e-03	5.788178e-03
-1.000000e+00	-8.000000e-01	1.142220e-01	5.876510e-03	5.876510e-03
-8.000000e-01	-6.000000e-01	1.129729e-01	5.740679e-03	5.740679e-03
-6.000000e-01	-4.000000e-01	1.185223e-01	5.862930e-03	5.862930e-03
-4.000000e-01	-2.000000e-01	1.163346e-01	5.830180e-03	5.830180e-03
-2.000000e-01	0.000000e+00	1.210457e-01	6.325581e-03	6.325581e-03
0.000000e+00	2.000000e-01	1.271492e-01	6.383708e-03	6.383708e-03
2.000000e-01	4.000000e-01	1.113676e-01	5.713933e-03	5.713933e-03
4.000000e-01	6.000000e-01	1.121098e-01	5.739464e-03	5.739464e-03
6.000000e-01	8.000000e-01	1.236211e-01	6.218611e-03	6.218611e-03
8.000000e-01	1.000000e+00	1.197719e-01	5.975033e-03	5.975033e-03
1.000000e+00	1.200000e+00	1.169639e-01	5.963028e-03	5.963028e-03
1.200000e+00	1.400000e+00	1.252553e-01	6.279325e-03	6.279325e-03
1.400000e+00	1.600000e+00	1.150850e-01	5.967709e-03	5.967709e-03
1.600000e+00	1.800000e+00	1.142869e-01	5.864133e-03	5.864133e-03
1.800000e+00	2.000000e+00	1.158638e-01	6.068725e-03	6.068725e-03
2.000000e+00	2.200000e+00	1.137564e-01	6.009917e-03	6.009917e-03
2.200000e+00	2.400000e+00	1.032277e-01	5.722039e-03	5.722039e-03
2.400000e+00	2.600000e+00	1.119128e-01	6.211453e-03	6.211453e-03
2.600000e+00	2.800000e+00	1.055939e-01	6.004530e-03	6.004530e-03
2.800000e+00	3.000000e+00	1.195648e-01	6.477337e-03	6.477337e-03
3.000000e+00	3.200000e+00	9.145010e-02	5.309903e-03	5.309903e-03
3.200000e+00	3.400000e+00	1.088085e-01	6.091402e-03	6.091402e-03
3.400000e+00	3.600000e+00	9.925895e-02	5.721167e-03	5.721167e-03
3.600000e+00	3.800000e+00	9.541360e-02	5.782917e-03	5.782917e-03
3.800000e+00	4.000000e+00	9.256710e-02	5.560335e-03	5.560335e-03
4.000000e+00	4.200000e+00	7.932635e-02	5.439187e-03	5.439187e-03
4.200000e+00	4.400000e+00	6.058290e-02	4.681463e-03	4.681463e-03
4.400000e+00	4.600000e+00	6.434925e-02	4.756953e-03	4.756953e-03
4.600000e+00	4.800000e+00	5.142390e-02	4.272828e-03	4.272828e-03
4.800000e+00	5.000000e+00	4.911577e-02	4.213001e-03	4.213001e-03
# END HISTO1D

