# BEGIN PLOT
Legend=1
LogY=0
XLabel=$|\eta|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta_+ \; / \; \mathrm{d}\sigma/\mathrm{d}\eta_-$
LegendYPos=0.5
Title=Pseudorapidity $+/-$ ratio of charged particles
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaChPMRatio
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaChPMRatio
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaChPMRatio
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaChPMRatio
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.050423e+00	7.612168e-02	7.612168e-02
2.000000e-01	4.000000e-01	9.573040e-01	6.865931e-02	6.865931e-02
4.000000e-01	6.000000e-01	9.458960e-01	6.733761e-02	6.733761e-02
6.000000e-01	8.000000e-01	1.094254e+00	7.824184e-02	7.824184e-02
8.000000e-01	1.000000e+00	1.048589e+00	7.514515e-02	7.514515e-02
1.000000e+00	1.200000e+00	1.013419e+00	7.247366e-02	7.247366e-02
1.200000e+00	1.400000e+00	1.080363e+00	7.657884e-02	7.657884e-02
1.400000e+00	1.600000e+00	1.010350e+00	7.366723e-02	7.366723e-02
1.600000e+00	1.800000e+00	1.035130e+00	7.561277e-02	7.561277e-02
1.800000e+00	2.000000e+00	9.724866e-01	7.056670e-02	7.056670e-02
2.000000e+00	2.200000e+00	1.039805e+00	7.826367e-02	7.826367e-02
2.200000e+00	2.400000e+00	1.066526e+00	8.306193e-02	8.306193e-02
2.400000e+00	2.600000e+00	9.860453e-01	7.616504e-02	7.616504e-02
2.600000e+00	2.800000e+00	9.489998e-01	7.399855e-02	7.399855e-02
2.800000e+00	3.000000e+00	1.136174e+00	8.825040e-02	8.825040e-02
3.000000e+00	3.200000e+00	8.313891e-01	6.612885e-02	6.612885e-02
3.200000e+00	3.400000e+00	8.825051e-01	6.728542e-02	6.728542e-02
3.400000e+00	3.600000e+00	8.522337e-01	6.751842e-02	6.751842e-02
3.600000e+00	3.800000e+00	1.005954e+00	8.564449e-02	8.564449e-02
3.800000e+00	4.000000e+00	1.099857e+00	9.671107e-02	9.671107e-02
4.000000e+00	4.200000e+00	1.155298e+00	1.120410e-01	1.120410e-01
4.200000e+00	4.400000e+00	1.108144e+00	1.222972e-01	1.222972e-01
4.400000e+00	4.600000e+00	1.398009e+00	1.534556e-01	1.534556e-01
4.600000e+00	4.800000e+00	1.437937e+00	1.769056e-01	1.769056e-01
4.800000e+00	5.000000e+00	1.111762e+00	1.372153e-01	1.372153e-01
# END HISTO1D

