# BEGIN PLOT
Legend=1
LogY=0
XLabel=$|\eta|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta_+ \; / \; \mathrm{d}\sigma/\mathrm{d}\eta_-$
LegendYPos=0.5
Title=Pseudorapidity $+/-$ ratio of all particles
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaPMRatio
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaPMRatio
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaPMRatio
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaPMRatio
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.017608e+00	5.793436e-02	5.793436e-02
2.000000e-01	4.000000e-01	1.007479e+00	5.705083e-02	5.705083e-02
4.000000e-01	6.000000e-01	9.843422e-01	5.515103e-02	5.515103e-02
6.000000e-01	8.000000e-01	1.014258e+00	5.678654e-02	5.678654e-02
8.000000e-01	1.000000e+00	1.054735e+00	5.934004e-02	5.934004e-02
1.000000e+00	1.200000e+00	9.974800e-01	5.617345e-02	5.617345e-02
1.200000e+00	1.400000e+00	9.978748e-01	5.605262e-02	5.605262e-02
1.400000e+00	1.600000e+00	9.558614e-01	5.424219e-02	5.424219e-02
1.600000e+00	1.800000e+00	9.918981e-01	5.736504e-02	5.736504e-02
1.800000e+00	2.000000e+00	1.032006e+00	5.997057e-02	5.997057e-02
2.000000e+00	2.200000e+00	1.025342e+00	6.081546e-02	6.081546e-02
2.200000e+00	2.400000e+00	1.089639e+00	6.662898e-02	6.662898e-02
2.400000e+00	2.600000e+00	9.591041e-01	5.783294e-02	5.783294e-02
2.600000e+00	2.800000e+00	9.554609e-01	5.925163e-02	5.925163e-02
2.800000e+00	3.000000e+00	1.059315e+00	6.588862e-02	6.588862e-02
3.000000e+00	3.200000e+00	8.147459e-01	5.055605e-02	5.055605e-02
3.200000e+00	3.400000e+00	8.428938e-01	5.064174e-02	5.064174e-02
3.400000e+00	3.600000e+00	8.445927e-01	5.336872e-02	5.336872e-02
3.600000e+00	3.800000e+00	1.064319e+00	7.118147e-02	7.118147e-02
3.800000e+00	4.000000e+00	1.046999e+00	7.335981e-02	7.335981e-02
4.000000e+00	4.200000e+00	1.146268e+00	8.727629e-02	8.727629e-02
4.200000e+00	4.400000e+00	1.114175e+00	9.406732e-02	9.406732e-02
4.400000e+00	4.600000e+00	1.340530e+00	1.179591e-01	1.179591e-01
4.600000e+00	4.800000e+00	1.296424e+00	1.233420e-01	1.233420e-01
4.800000e+00	5.000000e+00	1.194415e+00	1.168802e-01	1.168802e-01
# END HISTO1D

