# BEGIN PLOT
Legend=1
LogY=0
XLabel=$\eta$
YLabel=$\langle \sum E_\perp \rangle$
LegendYPos=0.5
Title=Pseudorapidity distribution of $\langle \sum E_\perp \rangle$
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaSumEt
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaSumEt
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaSumEt
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/EtaSumEt
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.278215e+00	3.293015e-02	3.293015e-02
2.000000e-01	4.000000e-01	1.308233e+00	3.537280e-02	3.537280e-02
4.000000e-01	6.000000e-01	1.301960e+00	3.432313e-02	3.432313e-02
6.000000e-01	8.000000e-01	1.253795e+00	3.470194e-02	3.470194e-02
8.000000e-01	1.000000e+00	1.251240e+00	3.579199e-02	3.579199e-02
1.000000e+00	1.200000e+00	1.267296e+00	3.994519e-02	3.994519e-02
1.200000e+00	1.400000e+00	1.186981e+00	3.055138e-02	3.055138e-02
1.400000e+00	1.600000e+00	1.178736e+00	3.074323e-02	3.074323e-02
1.600000e+00	1.800000e+00	1.173583e+00	3.437370e-02	3.437370e-02
1.800000e+00	2.000000e+00	1.173969e+00	3.162503e-02	3.162503e-02
2.000000e+00	2.200000e+00	1.153772e+00	3.087518e-02	3.087518e-02
2.200000e+00	2.400000e+00	1.156883e+00	3.276701e-02	3.276701e-02
2.400000e+00	2.600000e+00	1.180852e+00	3.656271e-02	3.656271e-02
2.600000e+00	2.800000e+00	1.230367e+00	4.210045e-02	4.210045e-02
2.800000e+00	3.000000e+00	1.128984e+00	3.710850e-02	3.710850e-02
3.000000e+00	3.200000e+00	1.325088e+00	4.454131e-02	4.454131e-02
3.200000e+00	3.400000e+00	1.435214e+00	5.062294e-02	5.062294e-02
3.400000e+00	3.600000e+00	1.290487e+00	4.049181e-02	4.049181e-02
3.600000e+00	3.800000e+00	1.301703e+00	4.526814e-02	4.526814e-02
3.800000e+00	4.000000e+00	1.226478e+00	4.457526e-02	4.457526e-02
4.000000e+00	4.200000e+00	1.210559e+00	5.609810e-02	5.609810e-02
4.200000e+00	4.400000e+00	1.017744e+00	4.042407e-02	4.042407e-02
4.400000e+00	4.600000e+00	1.080996e+00	5.600229e-02	5.600229e-02
4.600000e+00	4.800000e+00	9.358974e-01	3.993538e-02	3.993538e-02
4.800000e+00	5.000000e+00	9.080066e-01	5.610923e-02	5.610923e-02
# END HISTO1D

