# BEGIN PLOT
Legend=1
LogY=0
Title=Total multiplicity of events
XLabel=$N$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}N$
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Mult
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Mult
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Mult
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Mult
ScaledBy=2.96502421800250244e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	3.500000e+00	8.205680e-04	8.205679e-04	8.205679e-04
3.500000e+00	5.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	9.500000e+00	1.982658e-03	1.162786e-03	1.162786e-03
9.500000e+00	1.150000e+01	8.534985e-03	2.706533e-03	2.706533e-03
1.150000e+01	1.350000e+01	1.075981e-02	2.532603e-03	2.532603e-03
1.350000e+01	1.550000e+01	1.772372e-02	3.991871e-03	3.991871e-03
1.550000e+01	1.750000e+01	2.298407e-02	3.809815e-03	3.809815e-03
1.750000e+01	1.950000e+01	2.712812e-02	4.367133e-03	4.367133e-03
1.950000e+01	2.150000e+01	2.798638e-02	4.253798e-03	4.253798e-03
2.150000e+01	2.350000e+01	3.952766e-02	5.229543e-03	5.229543e-03
2.350000e+01	2.550000e+01	4.305451e-02	5.286502e-03	5.286502e-03
2.550000e+01	2.750000e+01	4.787780e-02	5.610078e-03	5.610078e-03
2.750000e+01	2.950000e+01	3.416445e-02	4.510810e-03	4.510810e-03
2.950000e+01	3.150000e+01	2.835539e-02	3.433279e-03	3.433279e-03
3.150000e+01	3.350000e+01	3.871880e-02	4.909701e-03	4.909701e-03
3.350000e+01	3.550000e+01	3.432088e-02	4.794811e-03	4.794811e-03
3.550000e+01	3.750000e+01	2.069608e-02	3.475670e-03	3.475670e-03
3.750000e+01	3.950000e+01	1.622400e-02	2.762702e-03	2.762702e-03
3.950000e+01	4.150000e+01	1.146501e-02	2.017436e-03	2.017436e-03
4.150000e+01	4.350000e+01	1.419722e-02	2.660991e-03	2.660991e-03
4.350000e+01	4.550000e+01	1.072352e-02	2.067160e-03	2.067160e-03
4.550000e+01	4.750000e+01	1.206341e-02	2.809660e-03	2.809660e-03
4.750000e+01	4.950000e+01	4.150776e-03	1.109890e-03	1.109890e-03
4.950000e+01	5.150000e+01	6.054880e-03	1.692703e-03	1.692703e-03
5.150000e+01	5.350000e+01	5.174015e-03	1.460003e-03	1.460003e-03
5.350000e+01	5.550000e+01	3.464012e-03	1.307533e-03	1.307533e-03
