# BEGIN PLOT
Legend=1
LogY=0
Title=Charged multiplicity of events
XLabel=$N_\text{ch}$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}N_\text{ch}$
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/MultCh
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/MultCh
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/MultCh
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/MultCh
ScaledBy=2.96502421800250244e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	3.500000e+00	1.733070e-03	1.198479e-03	1.198479e-03
3.500000e+00	5.500000e+00	3.058434e-03	1.469993e-03	1.469993e-03
5.500000e+00	7.500000e+00	1.188811e-02	2.729887e-03	2.729887e-03
7.500000e+00	9.500000e+00	3.019097e-02	4.909019e-03	4.909019e-03
9.500000e+00	1.150000e+01	3.998131e-02	5.185742e-03	5.185742e-03
1.150000e+01	1.350000e+01	4.577667e-02	5.489094e-03	5.489094e-03
1.350000e+01	1.550000e+01	5.911270e-02	6.176299e-03	6.176299e-03
1.550000e+01	1.750000e+01	6.649035e-02	6.463213e-03	6.463213e-03
1.750000e+01	1.950000e+01	5.441725e-02	5.620076e-03	5.620076e-03
1.950000e+01	2.150000e+01	4.277622e-02	4.964651e-03	4.964651e-03
2.150000e+01	2.350000e+01	3.793955e-02	4.717261e-03	4.717261e-03
2.350000e+01	2.550000e+01	3.176933e-02	4.174639e-03	4.174639e-03
2.550000e+01	2.750000e+01	1.959803e-02	3.056481e-03	3.056481e-03
2.750000e+01	2.950000e+01	1.724455e-02	3.181482e-03	3.181482e-03
2.950000e+01	3.150000e+01	1.250870e-02	2.595066e-03	2.595066e-03
3.150000e+01	3.350000e+01	7.078370e-03	1.340163e-03	1.340163e-03
3.350000e+01	3.550000e+01	6.820505e-03	2.163204e-03	2.163204e-03
3.550000e+01	3.750000e+01	2.246212e-03	4.657010e-04	4.657010e-04
3.750000e+01	3.950000e+01	1.814215e-03	5.390763e-04	5.390763e-04
3.950000e+01	4.150000e+01	3.221035e-03	1.259913e-03	1.259913e-03
4.150000e+01	4.350000e+01	1.779491e-03	9.162759e-04	9.162759e-04
4.350000e+01	4.550000e+01	6.020545e-04	3.559119e-04	3.559119e-04
4.550000e+01	4.750000e+01	1.599875e-03	1.184168e-03	1.184168e-03
4.750000e+01	4.950000e+01	1.639395e-04	1.466305e-04	1.466305e-04
4.950000e+01	5.150000e+01	6.900620e-05	4.289730e-05	4.289730e-05
5.150000e+01	5.350000e+01	1.492963e-05	1.089430e-05	1.089430e-05
5.350000e+01	5.550000e+01	7.285905e-05	5.159811e-05	5.159811e-05
5.550000e+01	5.750000e+01	2.436209e-05	1.906488e-05	1.906488e-05
5.750000e+01	5.950000e+01	7.925135e-06	7.925134e-06	7.925134e-06
5.950000e+01	6.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.150000e+01	6.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.350000e+01	6.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.550000e+01	6.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.750000e+01	6.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.950000e+01	7.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.150000e+01	7.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.350000e+01	7.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.550000e+01	7.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.750000e+01	7.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.950000e+01	8.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.150000e+01	8.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.350000e+01	8.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.550000e+01	8.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.750000e+01	8.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.950000e+01	9.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.150000e+01	9.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.350000e+01	9.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.550000e+01	9.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.750000e+01	9.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.950000e+01	1.015000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.015000e+02	1.035000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.035000e+02	1.055000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.055000e+02	1.075000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.075000e+02	1.095000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.095000e+02	1.115000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.115000e+02	1.135000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.135000e+02	1.155000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.155000e+02	1.175000e+02	0.000000e+00	0.000000e+00	0.000000e+00
