# BEGIN PLOT
Legend=1
LogY=0
Title=Azimuthal distribution of all particles
XLabel=$\phi$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\phi$
LegendYPos=0.5
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Phi
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Phi
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Phi
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Phi
ScaledBy=1.16760370957398102e+08
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.597173e-01	7.109746e-03	7.109746e-03
1.256637e-01	2.513274e-01	1.680006e-01	7.205360e-03	7.205360e-03
2.513274e-01	3.769911e-01	1.610371e-01	7.070405e-03	7.070405e-03
3.769911e-01	5.026548e-01	1.652310e-01	7.252556e-03	7.252556e-03
5.026548e-01	6.283185e-01	1.577874e-01	6.867178e-03	6.867178e-03
6.283185e-01	7.539822e-01	1.711930e-01	7.263493e-03	7.263493e-03
7.539822e-01	8.796459e-01	1.546950e-01	6.982338e-03	6.982338e-03
8.796459e-01	1.005310e+00	1.671123e-01	7.175115e-03	7.175115e-03
1.005310e+00	1.130973e+00	1.528245e-01	6.737815e-03	6.737815e-03
1.130973e+00	1.256637e+00	1.563756e-01	6.886351e-03	6.886351e-03
1.256637e+00	1.382301e+00	1.572903e-01	7.009562e-03	7.009562e-03
1.382301e+00	1.507964e+00	1.506117e-01	6.692283e-03	6.692283e-03
1.507964e+00	1.633628e+00	1.557839e-01	6.876559e-03	6.876559e-03
1.633628e+00	1.759292e+00	1.554429e-01	6.899161e-03	6.899161e-03
1.759292e+00	1.884956e+00	1.713114e-01	7.464128e-03	7.464128e-03
1.884956e+00	2.010619e+00	1.534700e-01	6.913900e-03	6.913900e-03
2.010619e+00	2.136283e+00	1.605874e-01	7.078970e-03	7.078970e-03
2.136283e+00	2.261947e+00	1.589989e-01	7.224422e-03	7.224422e-03
2.261947e+00	2.387610e+00	1.556178e-01	7.130195e-03	7.130195e-03
2.387610e+00	2.513274e+00	1.580324e-01	6.988553e-03	6.988553e-03
2.513274e+00	2.638938e+00	1.538765e-01	7.052121e-03	7.052121e-03
2.638938e+00	2.764602e+00	1.614501e-01	7.221881e-03	7.221881e-03
2.764602e+00	2.890265e+00	1.502222e-01	6.826056e-03	6.826056e-03
2.890265e+00	3.015929e+00	1.627322e-01	7.248134e-03	7.248134e-03
3.015929e+00	3.141593e+00	1.660378e-01	7.222406e-03	7.222406e-03
3.141593e+00	3.267256e+00	1.675845e-01	7.242180e-03	7.242180e-03
3.267256e+00	3.392920e+00	1.646119e-01	7.330748e-03	7.330748e-03
3.392920e+00	3.518584e+00	1.748664e-01	7.495733e-03	7.495733e-03
3.518584e+00	3.644247e+00	1.524545e-01	6.828098e-03	6.828098e-03
3.644247e+00	3.769911e+00	1.644383e-01	7.050383e-03	7.050383e-03
3.769911e+00	3.895575e+00	1.693340e-01	7.422952e-03	7.422952e-03
3.895575e+00	4.021239e+00	1.584607e-01	7.211156e-03	7.211156e-03
4.021239e+00	4.146902e+00	1.572782e-01	7.064516e-03	7.064516e-03
4.146902e+00	4.272566e+00	1.482940e-01	6.817367e-03	6.817367e-03
4.272566e+00	4.398230e+00	1.474420e-01	6.787565e-03	6.787565e-03
4.398230e+00	4.523893e+00	1.440340e-01	6.758438e-03	6.758438e-03
4.523893e+00	4.649557e+00	1.396802e-01	6.416445e-03	6.416445e-03
4.649557e+00	4.775221e+00	1.551479e-01	7.084124e-03	7.084124e-03
4.775221e+00	4.900885e+00	1.632195e-01	7.244381e-03	7.244381e-03
4.900885e+00	5.026548e+00	1.570190e-01	7.064745e-03	7.064745e-03
5.026548e+00	5.152212e+00	1.612479e-01	7.198649e-03	7.198649e-03
5.152212e+00	5.277876e+00	1.771692e-01	7.618894e-03	7.618894e-03
5.277876e+00	5.403539e+00	1.589677e-01	7.296084e-03	7.296084e-03
5.403539e+00	5.529203e+00	1.506590e-01	6.814135e-03	6.814135e-03
5.529203e+00	5.654867e+00	1.508364e-01	6.891627e-03	6.891627e-03
5.654867e+00	5.780530e+00	1.558384e-01	7.016201e-03	7.016201e-03
5.780530e+00	5.906194e+00	1.595848e-01	7.182345e-03	7.182345e-03
5.906194e+00	6.031858e+00	1.651666e-01	7.254393e-03	7.254393e-03
6.031858e+00	6.157522e+00	1.544235e-01	6.859674e-03	6.859674e-03
6.157522e+00	6.283185e+00	1.745488e-01	7.615654e-03	7.615654e-03
# END HISTO1D

