# BEGIN PLOT
Legend=1
LogY=0
Title=Azimuthal distribution of charged particles
XLabel=$\phi$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\phi$
LegendYPos=0.5
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/PhiCh
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/PhiCh
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/PhiCh
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/PhiCh
ScaledBy=4.84070251421719611e+08
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.719525e-01	9.405785e-03	9.405785e-03
1.256637e-01	2.513274e-01	1.698591e-01	9.234228e-03	9.234228e-03
2.513274e-01	3.769911e-01	1.573431e-01	8.789529e-03	8.789529e-03
3.769911e-01	5.026548e-01	1.670645e-01	9.202384e-03	9.202384e-03
5.026548e-01	6.283185e-01	1.639185e-01	9.080902e-03	9.080902e-03
6.283185e-01	7.539822e-01	1.696382e-01	9.169570e-03	9.169570e-03
7.539822e-01	8.796459e-01	1.507875e-01	8.691416e-03	8.691416e-03
8.796459e-01	1.005310e+00	1.664987e-01	9.063964e-03	9.063964e-03
1.005310e+00	1.130973e+00	1.516308e-01	8.576683e-03	8.576683e-03
1.130973e+00	1.256637e+00	1.566403e-01	8.720705e-03	8.720705e-03
1.256637e+00	1.382301e+00	1.530061e-01	8.732308e-03	8.732308e-03
1.382301e+00	1.507964e+00	1.552193e-01	8.691475e-03	8.691475e-03
1.507964e+00	1.633628e+00	1.562897e-01	8.583549e-03	8.583549e-03
1.633628e+00	1.759292e+00	1.561128e-01	8.726908e-03	8.726908e-03
1.759292e+00	1.884956e+00	1.737714e-01	9.734501e-03	9.734501e-03
1.884956e+00	2.010619e+00	1.510075e-01	8.621246e-03	8.621246e-03
2.010619e+00	2.136283e+00	1.579809e-01	8.909394e-03	8.909394e-03
2.136283e+00	2.261947e+00	1.547678e-01	9.056689e-03	9.056689e-03
2.261947e+00	2.387610e+00	1.551321e-01	9.037070e-03	9.037070e-03
2.387610e+00	2.513274e+00	1.592728e-01	8.939105e-03	8.939105e-03
2.513274e+00	2.638938e+00	1.561023e-01	9.093518e-03	9.093518e-03
2.638938e+00	2.764602e+00	1.515050e-01	8.705410e-03	8.705410e-03
2.764602e+00	2.890265e+00	1.402765e-01	8.335034e-03	8.335034e-03
2.890265e+00	3.015929e+00	1.734083e-01	9.575601e-03	9.575601e-03
3.015929e+00	3.141593e+00	1.705944e-01	9.317287e-03	9.317287e-03
3.141593e+00	3.267256e+00	1.638754e-01	9.054401e-03	9.054401e-03
3.267256e+00	3.392920e+00	1.617964e-01	9.364800e-03	9.364800e-03
3.392920e+00	3.518584e+00	1.750878e-01	9.504563e-03	9.504563e-03
3.518584e+00	3.644247e+00	1.540454e-01	8.797007e-03	8.797007e-03
3.644247e+00	3.769911e+00	1.655773e-01	8.939685e-03	8.939685e-03
3.769911e+00	3.895575e+00	1.741547e-01	9.637778e-03	9.637778e-03
3.895575e+00	4.021239e+00	1.629761e-01	9.442703e-03	9.442703e-03
4.021239e+00	4.146902e+00	1.448988e-01	8.426377e-03	8.426377e-03
4.146902e+00	4.272566e+00	1.440999e-01	8.428572e-03	8.428572e-03
4.272566e+00	4.398230e+00	1.502418e-01	8.731830e-03	8.731830e-03
4.398230e+00	4.523893e+00	1.499616e-01	8.746196e-03	8.746196e-03
4.523893e+00	4.649557e+00	1.372217e-01	8.075820e-03	8.075820e-03
4.649557e+00	4.775221e+00	1.520956e-01	8.943620e-03	8.943620e-03
4.775221e+00	4.900885e+00	1.672851e-01	9.337980e-03	9.337980e-03
4.900885e+00	5.026548e+00	1.588541e-01	9.219252e-03	9.219252e-03
5.026548e+00	5.152212e+00	1.638799e-01	9.240900e-03	9.240900e-03
5.152212e+00	5.277876e+00	1.773401e-01	9.796782e-03	9.796782e-03
5.277876e+00	5.403539e+00	1.544524e-01	8.955879e-03	8.955879e-03
5.403539e+00	5.529203e+00	1.495528e-01	8.349447e-03	8.349447e-03
5.529203e+00	5.654867e+00	1.513995e-01	8.578963e-03	8.578963e-03
5.654867e+00	5.780530e+00	1.557385e-01	8.818648e-03	8.818648e-03
5.780530e+00	5.906194e+00	1.659040e-01	9.312467e-03	9.312467e-03
5.906194e+00	6.031858e+00	1.627111e-01	9.059503e-03	9.059503e-03
6.031858e+00	6.157522e+00	1.530210e-01	8.742227e-03	8.742227e-03
6.157522e+00	6.283185e+00	1.717962e-01	9.428969e-03	9.428969e-03
# END HISTO1D

