# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of all particles
XLabel=$p_\perp$ [GeV]
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}p_\perp$ [GeV$^{-1}$]
FullRange=1
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Pt
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Pt
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Pt
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Pt
ScaledBy=1.16760370957398102e+08
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	6.000000e-01	2.143566e+00	2.963845e-02	2.963845e-02
6.000000e-01	7.000000e-01	1.562115e+00	2.526165e-02	2.526165e-02
7.000000e-01	8.000000e-01	1.197336e+00	2.205703e-02	2.205703e-02
8.000000e-01	9.000000e-01	8.498457e-01	1.844477e-02	1.844477e-02
9.000000e-01	1.000000e+00	6.315226e-01	1.596028e-02	1.596028e-02
1.000000e+00	1.100000e+00	5.166598e-01	1.450996e-02	1.450996e-02
1.100000e+00	1.200000e+00	4.224165e-01	1.296798e-02	1.296798e-02
1.200000e+00	1.300000e+00	3.061262e-01	1.066296e-02	1.066296e-02
1.300000e+00	1.400000e+00	2.725703e-01	1.040331e-02	1.040331e-02
1.400000e+00	1.500000e+00	2.258981e-01	9.383682e-03	9.383682e-03
1.500000e+00	1.600000e+00	1.948640e-01	8.786511e-03	8.786511e-03
1.600000e+00	1.700000e+00	1.569670e-01	7.744526e-03	7.744526e-03
1.700000e+00	1.800000e+00	1.343479e-01	7.077505e-03	7.077505e-03
1.800000e+00	1.900000e+00	1.202544e-01	6.778166e-03	6.778166e-03
1.900000e+00	2.000000e+00	1.015686e-01	5.996896e-03	5.996896e-03
2.000000e+00	2.100000e+00	1.025740e-01	6.273212e-03	6.273212e-03
2.100000e+00	2.200000e+00	6.972840e-02	4.968913e-03	4.968913e-03
2.200000e+00	2.300000e+00	7.709341e-02	5.359833e-03	5.359833e-03
2.300000e+00	2.400000e+00	7.031252e-02	4.969997e-03	4.969997e-03
2.400000e+00	2.500000e+00	6.081286e-02	4.828237e-03	4.828237e-03
2.500000e+00	2.600000e+00	5.162128e-02	4.341010e-03	4.341010e-03
2.600000e+00	2.700000e+00	5.866755e-02	4.893648e-03	4.893648e-03
2.700000e+00	2.800000e+00	4.426601e-02	3.863969e-03	3.863969e-03
2.800000e+00	2.900000e+00	3.832525e-02	3.653266e-03	3.653266e-03
2.900000e+00	3.000000e+00	3.272694e-02	3.088187e-03	3.088187e-03
3.000000e+00	3.100000e+00	3.398758e-02	3.559202e-03	3.559202e-03
3.100000e+00	3.200000e+00	2.975251e-02	3.025355e-03	3.025355e-03
3.200000e+00	3.300000e+00	2.831407e-02	3.265708e-03	3.265708e-03
3.300000e+00	3.400000e+00	2.609106e-02	2.873764e-03	2.873764e-03
3.400000e+00	3.500000e+00	2.615430e-02	3.040296e-03	3.040296e-03
3.500000e+00	3.600000e+00	2.508708e-02	3.155004e-03	3.155004e-03
3.600000e+00	3.700000e+00	1.917800e-02	2.478210e-03	2.478210e-03
3.700000e+00	3.800000e+00	1.739376e-02	2.490101e-03	2.490101e-03
3.800000e+00	3.900000e+00	1.975852e-02	2.583469e-03	2.583469e-03
3.900000e+00	4.000000e+00	1.789331e-02	2.479150e-03	2.479150e-03
4.000000e+00	4.100000e+00	1.783735e-02	2.473435e-03	2.473435e-03
4.100000e+00	4.200000e+00	1.367018e-02	2.193874e-03	2.193874e-03
4.200000e+00	4.300000e+00	1.415349e-02	2.281877e-03	2.281877e-03
4.300000e+00	4.400000e+00	1.185649e-02	1.851535e-03	1.851535e-03
4.400000e+00	4.500000e+00	1.198465e-02	1.999635e-03	1.999635e-03
4.500000e+00	4.600000e+00	1.171360e-02	1.905421e-03	1.905421e-03
4.600000e+00	4.700000e+00	1.186458e-02	2.261436e-03	2.261436e-03
4.700000e+00	4.800000e+00	1.259918e-02	2.354375e-03	2.354375e-03
4.800000e+00	4.900000e+00	8.729665e-03	1.457406e-03	1.457406e-03
4.900000e+00	5.000000e+00	1.105823e-02	2.138060e-03	2.138060e-03
5.000000e+00	5.100000e+00	6.602407e-03	1.041797e-03	1.041797e-03
5.100000e+00	5.200000e+00	8.250439e-03	1.585620e-03	1.585620e-03
5.200000e+00	5.300000e+00	9.832338e-03	1.951663e-03	1.951663e-03
5.300000e+00	5.400000e+00	6.560073e-03	1.512866e-03	1.512866e-03
5.400000e+00	5.500000e+00	7.188817e-03	1.481657e-03	1.481657e-03
5.500000e+00	5.600000e+00	5.260431e-03	9.045848e-04	9.045848e-04
5.600000e+00	5.700000e+00	6.628812e-03	1.710924e-03	1.710924e-03
5.700000e+00	5.800000e+00	4.584729e-03	1.209797e-03	1.209797e-03
5.800000e+00	5.900000e+00	4.583578e-03	9.406607e-04	9.406607e-04
5.900000e+00	6.000000e+00	4.721080e-03	1.271290e-03	1.271290e-03
6.000000e+00	6.100000e+00	5.555615e-03	1.230442e-03	1.230442e-03
6.100000e+00	6.200000e+00	5.647757e-03	1.468107e-03	1.468107e-03
6.200000e+00	6.300000e+00	5.714011e-03	1.599435e-03	1.599435e-03
6.300000e+00	6.400000e+00	6.839629e-03	1.574861e-03	1.574861e-03
6.400000e+00	6.500000e+00	2.578146e-03	6.905480e-04	6.905480e-04
6.500000e+00	6.600000e+00	2.259824e-03	7.691569e-04	7.691569e-04
6.600000e+00	6.700000e+00	1.607293e-03	3.487815e-04	3.487815e-04
6.700000e+00	6.800000e+00	2.765649e-03	6.323011e-04	6.323011e-04
6.800000e+00	6.900000e+00	3.462316e-03	9.955844e-04	9.955844e-04
6.900000e+00	7.000000e+00	3.337922e-03	1.161168e-03	1.161168e-03
7.000000e+00	7.100000e+00	4.088280e-03	1.139808e-03	1.139808e-03
7.100000e+00	7.200000e+00	4.581801e-03	1.128795e-03	1.128795e-03
7.200000e+00	7.300000e+00	2.317673e-03	5.497609e-04	5.497609e-04
7.300000e+00	7.400000e+00	1.774450e-03	4.164094e-04	4.164094e-04
7.400000e+00	7.500000e+00	4.638536e-03	1.370905e-03	1.370905e-03
7.500000e+00	7.600000e+00	3.696582e-03	1.214211e-03	1.214211e-03
7.600000e+00	7.700000e+00	7.995662e-04	2.713244e-04	2.713244e-04
7.700000e+00	7.800000e+00	2.661028e-03	1.013364e-03	1.013364e-03
7.800000e+00	7.900000e+00	1.566634e-03	4.952299e-04	4.952299e-04
7.900000e+00	8.000000e+00	1.219797e-03	3.499537e-04	3.499537e-04
8.000000e+00	8.100000e+00	2.299959e-03	1.030200e-03	1.030200e-03
8.100000e+00	8.200000e+00	1.188085e-03	4.509916e-04	4.509916e-04
8.200000e+00	8.300000e+00	1.626887e-03	5.092919e-04	5.092919e-04
8.300000e+00	8.400000e+00	1.983173e-03	7.402023e-04	7.402023e-04
8.400000e+00	8.500000e+00	1.642605e-03	4.744739e-04	4.744739e-04
8.500000e+00	8.600000e+00	1.543510e-03	8.200770e-04	8.200770e-04
8.600000e+00	8.700000e+00	1.361795e-03	4.645810e-04	4.645810e-04
8.700000e+00	8.800000e+00	2.281530e-03	9.301253e-04	9.301253e-04
8.800000e+00	8.900000e+00	2.257350e-03	1.025988e-03	1.025988e-03
8.900000e+00	9.000000e+00	9.043628e-04	4.510233e-04	4.510233e-04
9.000000e+00	9.100000e+00	7.067778e-04	2.925404e-04	2.925404e-04
9.100000e+00	9.200000e+00	9.098765e-04	2.862026e-04	2.862026e-04
9.200000e+00	9.300000e+00	1.172550e-03	7.048381e-04	7.048381e-04
9.300000e+00	9.400000e+00	1.331551e-03	5.150681e-04	5.150681e-04
9.400000e+00	9.500000e+00	1.402035e-03	7.741080e-04	7.741080e-04
9.500000e+00	9.600000e+00	7.435898e-04	2.343180e-04	2.343180e-04
9.600000e+00	9.700000e+00	9.722246e-04	4.717508e-04	4.717508e-04
9.700000e+00	9.800000e+00	1.640541e-03	9.559222e-04	9.559222e-04
9.800000e+00	9.900000e+00	1.025505e-03	4.873389e-04	4.873389e-04
9.900000e+00	1.000000e+01	1.021584e-03	4.241773e-04	4.241773e-04
1.000000e+01	1.010000e+01	5.228865e-04	2.225303e-04	2.225303e-04
1.010000e+01	1.020000e+01	8.314552e-04	3.767571e-04	3.767571e-04
1.020000e+01	1.030000e+01	1.397267e-03	7.719870e-04	7.719870e-04
1.030000e+01	1.040000e+01	1.044056e-03	4.103116e-04	4.103116e-04
1.040000e+01	1.050000e+01	6.432854e-04	2.225113e-04	2.225113e-04
1.050000e+01	1.060000e+01	8.583816e-05	3.152968e-05	3.152968e-05
1.060000e+01	1.070000e+01	3.699463e-04	2.131334e-04	2.131334e-04
1.070000e+01	1.080000e+01	1.202350e-03	6.980756e-04	6.980756e-04
1.080000e+01	1.090000e+01	2.861346e-04	8.718858e-05	8.718858e-05
1.090000e+01	1.100000e+01	1.146084e-03	3.930599e-04	3.930599e-04
1.100000e+01	1.110000e+01	1.186811e-04	3.917452e-05	3.917452e-05
1.110000e+01	1.120000e+01	8.210702e-04	3.583853e-04	3.583853e-04
1.120000e+01	1.130000e+01	4.497945e-04	1.687729e-04	1.687729e-04
1.130000e+01	1.140000e+01	5.496073e-04	2.010218e-04	2.010218e-04
1.140000e+01	1.150000e+01	5.955788e-04	1.826508e-04	1.826508e-04
1.150000e+01	1.160000e+01	6.400374e-04	3.573633e-04	3.573633e-04
1.160000e+01	1.170000e+01	7.598363e-04	4.170235e-04	4.170235e-04
1.170000e+01	1.180000e+01	6.298792e-04	4.835192e-04	4.835192e-04
1.180000e+01	1.190000e+01	1.594874e-04	7.225173e-05	7.225173e-05
1.190000e+01	1.200000e+01	2.061408e-04	7.150017e-05	7.150017e-05
1.200000e+01	1.210000e+01	1.386721e-04	4.585039e-05	4.585039e-05
1.210000e+01	1.220000e+01	3.475900e-04	1.391526e-04	1.391526e-04
1.220000e+01	1.230000e+01	3.636872e-04	1.580577e-04	1.580577e-04
1.230000e+01	1.240000e+01	5.116714e-04	3.304222e-04	3.304222e-04
1.240000e+01	1.250000e+01	7.724226e-04	3.899028e-04	3.899028e-04
1.250000e+01	1.260000e+01	2.234796e-04	8.461831e-05	8.461831e-05
1.260000e+01	1.270000e+01	3.081654e-04	1.792205e-04	1.792205e-04
1.270000e+01	1.280000e+01	2.570847e-04	1.413180e-04	1.413180e-04
1.280000e+01	1.290000e+01	2.092325e-04	8.040798e-05	8.040798e-05
1.290000e+01	1.300000e+01	1.723565e-04	6.061818e-05	6.061818e-05
1.300000e+01	1.310000e+01	6.795396e-04	2.818283e-04	2.818283e-04
1.310000e+01	1.320000e+01	1.478233e-04	7.909178e-05	7.909178e-05
1.320000e+01	1.330000e+01	9.207637e-04	5.256194e-04	5.256194e-04
1.330000e+01	1.340000e+01	1.609231e-04	8.949750e-05	8.949750e-05
1.340000e+01	1.350000e+01	7.927795e-04	5.227455e-04	5.227455e-04
1.350000e+01	1.360000e+01	2.678205e-04	1.816077e-04	1.816077e-04
1.360000e+01	1.370000e+01	2.256116e-04	1.405119e-04	1.405119e-04
1.370000e+01	1.380000e+01	3.744484e-05	2.487641e-05	2.487641e-05
1.380000e+01	1.390000e+01	5.723381e-04	3.552928e-04	3.552928e-04
1.390000e+01	1.400000e+01	8.618484e-05	3.388432e-05	3.388432e-05
1.400000e+01	1.410000e+01	7.400187e-05	4.899453e-05	4.899453e-05
1.410000e+01	1.420000e+01	3.780611e-05	2.417979e-05	2.417979e-05
1.420000e+01	1.430000e+01	9.312817e-04	8.574204e-04	8.574204e-04
1.430000e+01	1.440000e+01	2.258324e-04	1.542562e-04	1.542562e-04
