# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of charged particles
XLabel=$p_\perp$ [GeV]
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}p_\perp$ [GeV$^{-1}$]
FullRange=1
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/PtCh
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/PtCh
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/PtCh
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/PtCh
ScaledBy=4.84070251421719611e+08
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	6.000000e-01	2.143602e+00	3.759948e-02	3.759948e-02
6.000000e-01	7.000000e-01	1.562606e+00	3.194566e-02	3.194566e-02
7.000000e-01	8.000000e-01	1.192307e+00	2.799012e-02	2.799012e-02
8.000000e-01	9.000000e-01	8.358802e-01	2.302519e-02	2.302519e-02
9.000000e-01	1.000000e+00	6.298617e-01	2.021568e-02	2.021568e-02
1.000000e+00	1.100000e+00	5.320423e-01	1.892174e-02	1.892174e-02
1.100000e+00	1.200000e+00	4.191119e-01	1.626841e-02	1.626841e-02
1.200000e+00	1.300000e+00	3.172309e-01	1.397938e-02	1.397938e-02
1.300000e+00	1.400000e+00	2.824411e-01	1.352142e-02	1.352142e-02
1.400000e+00	1.500000e+00	2.358007e-01	1.246012e-02	1.246012e-02
1.500000e+00	1.600000e+00	1.858918e-01	1.079776e-02	1.079776e-02
1.600000e+00	1.700000e+00	1.585061e-01	9.902159e-03	9.902159e-03
1.700000e+00	1.800000e+00	1.321484e-01	8.848973e-03	8.848973e-03
1.800000e+00	1.900000e+00	1.283843e-01	8.907712e-03	8.907712e-03
1.900000e+00	2.000000e+00	9.864223e-02	7.593032e-03	7.593032e-03
2.000000e+00	2.100000e+00	9.434859e-02	7.411671e-03	7.411671e-03
2.100000e+00	2.200000e+00	6.532082e-02	5.909223e-03	5.909223e-03
2.200000e+00	2.300000e+00	8.056048e-02	6.814218e-03	6.814218e-03
2.300000e+00	2.400000e+00	7.094780e-02	6.256215e-03	6.256215e-03
2.400000e+00	2.500000e+00	5.893143e-02	6.068605e-03	6.068605e-03
2.500000e+00	2.600000e+00	5.271592e-02	5.444382e-03	5.444382e-03
2.600000e+00	2.700000e+00	5.862869e-02	6.375288e-03	6.375288e-03
2.700000e+00	2.800000e+00	4.575119e-02	5.109725e-03	5.109725e-03
2.800000e+00	2.900000e+00	3.856603e-02	4.723880e-03	4.723880e-03
2.900000e+00	3.000000e+00	3.238997e-02	4.081451e-03	4.081451e-03
3.000000e+00	3.100000e+00	3.416109e-02	4.506360e-03	4.506360e-03
3.100000e+00	3.200000e+00	2.847346e-02	3.803405e-03	3.803405e-03
3.200000e+00	3.300000e+00	2.892821e-02	4.017158e-03	4.017158e-03
3.300000e+00	3.400000e+00	3.060520e-02	4.117426e-03	4.117426e-03
3.400000e+00	3.500000e+00	2.717029e-02	4.006027e-03	4.006027e-03
3.500000e+00	3.600000e+00	2.616917e-02	4.254751e-03	4.254751e-03
3.600000e+00	3.700000e+00	1.770291e-02	2.961768e-03	2.961768e-03
3.700000e+00	3.800000e+00	1.891851e-02	3.239616e-03	3.239616e-03
3.800000e+00	3.900000e+00	2.247114e-02	3.667993e-03	3.667993e-03
3.900000e+00	4.000000e+00	1.968460e-02	3.352353e-03	3.352353e-03
4.000000e+00	4.100000e+00	1.610474e-02	3.035884e-03	3.035884e-03
4.100000e+00	4.200000e+00	1.320768e-02	2.831570e-03	2.831570e-03
4.200000e+00	4.300000e+00	1.244421e-02	2.384278e-03	2.384278e-03
4.300000e+00	4.400000e+00	1.230920e-02	2.412394e-03	2.412394e-03
4.400000e+00	4.500000e+00	9.768310e-03	1.854723e-03	1.854723e-03
4.500000e+00	4.600000e+00	1.290608e-02	2.621432e-03	2.621432e-03
4.600000e+00	4.700000e+00	1.175894e-02	2.734230e-03	2.734230e-03
4.700000e+00	4.800000e+00	1.160372e-02	2.565276e-03	2.565276e-03
4.800000e+00	4.900000e+00	7.494668e-03	1.530392e-03	1.530392e-03
4.900000e+00	5.000000e+00	8.968388e-03	2.349048e-03	2.349048e-03
5.000000e+00	5.100000e+00	5.796246e-03	1.053327e-03	1.053327e-03
5.100000e+00	5.200000e+00	6.961399e-03	1.821843e-03	1.821843e-03
5.200000e+00	5.300000e+00	1.038613e-02	2.346947e-03	2.346947e-03
5.300000e+00	5.400000e+00	6.164325e-03	1.808456e-03	1.808456e-03
5.400000e+00	5.500000e+00	6.812873e-03	1.825359e-03	1.825359e-03
5.500000e+00	5.600000e+00	5.615139e-03	1.287875e-03	1.287875e-03
5.600000e+00	5.700000e+00	6.272534e-03	2.005205e-03	2.005205e-03
5.700000e+00	5.800000e+00	3.960803e-03	1.237325e-03	1.237325e-03
5.800000e+00	5.900000e+00	4.565983e-03	1.262972e-03	1.262972e-03
5.900000e+00	6.000000e+00	5.938910e-03	1.972580e-03	1.972580e-03
6.000000e+00	6.100000e+00	3.817999e-03	1.053158e-03	1.053158e-03
6.100000e+00	6.200000e+00	6.057594e-03	1.992600e-03	1.992600e-03
6.200000e+00	6.300000e+00	5.280173e-03	1.986036e-03	1.986036e-03
6.300000e+00	6.400000e+00	6.225043e-03	1.813278e-03	1.813278e-03
6.400000e+00	6.500000e+00	3.243993e-03	1.078922e-03	1.078922e-03
6.500000e+00	6.600000e+00	2.382731e-03	1.179561e-03	1.179561e-03
6.600000e+00	6.700000e+00	1.589558e-03	4.159411e-04	4.159411e-04
6.700000e+00	6.800000e+00	2.931425e-03	8.548714e-04	8.548714e-04
6.800000e+00	6.900000e+00	3.619649e-03	1.311638e-03	1.311638e-03
6.900000e+00	7.000000e+00	3.730920e-03	1.742879e-03	1.742879e-03
7.000000e+00	7.100000e+00	3.632940e-03	1.417728e-03	1.417728e-03
7.100000e+00	7.200000e+00	5.222363e-03	1.656536e-03	1.656536e-03
7.200000e+00	7.300000e+00	1.138550e-03	2.803560e-04	2.803560e-04
7.300000e+00	7.400000e+00	1.762123e-03	5.295218e-04	5.295218e-04
7.400000e+00	7.500000e+00	3.730323e-03	1.382313e-03	1.382313e-03
7.500000e+00	7.600000e+00	3.932826e-03	1.585671e-03	1.585671e-03
7.600000e+00	7.700000e+00	6.066876e-04	1.328964e-04	1.328964e-04
7.700000e+00	7.800000e+00	1.088242e-03	3.413029e-04	3.413029e-04
7.800000e+00	7.900000e+00	1.443711e-03	7.134046e-04	7.134046e-04
7.900000e+00	8.000000e+00	7.719383e-04	2.174570e-04	2.174570e-04
8.000000e+00	8.100000e+00	2.551113e-03	1.338793e-03	1.338793e-03
8.100000e+00	8.200000e+00	9.694573e-04	4.578477e-04	4.578477e-04
8.200000e+00	8.300000e+00	7.107752e-04	3.276901e-04	3.276901e-04
8.300000e+00	8.400000e+00	1.684628e-03	8.939442e-04	8.939442e-04
8.400000e+00	8.500000e+00	1.689206e-03	6.894541e-04	6.894541e-04
8.500000e+00	8.600000e+00	5.544818e-04	1.728282e-04	1.728282e-04
8.600000e+00	8.700000e+00	1.509062e-03	6.673119e-04	6.673119e-04
8.700000e+00	8.800000e+00	3.147489e-03	1.469933e-03	1.469933e-03
8.800000e+00	8.900000e+00	3.164654e-03	1.628858e-03	1.628858e-03
8.900000e+00	9.000000e+00	1.379156e-03	7.202454e-04	7.202454e-04
9.000000e+00	9.100000e+00	6.368826e-04	3.928999e-04	3.928999e-04
9.100000e+00	9.200000e+00	7.383706e-04	3.258782e-04	3.258782e-04
9.200000e+00	9.300000e+00	6.997656e-04	3.204506e-04	3.204506e-04
9.300000e+00	9.400000e+00	1.097627e-03	5.023407e-04	5.023407e-04
9.400000e+00	9.500000e+00	8.119743e-04	3.993214e-04	3.993214e-04
9.500000e+00	9.600000e+00	7.454036e-04	2.550640e-04	2.550640e-04
9.600000e+00	9.700000e+00	1.031053e-03	6.146667e-04	6.146667e-04
9.700000e+00	9.800000e+00	1.196957e-03	1.028833e-03	1.028833e-03
9.800000e+00	9.900000e+00	1.121191e-03	7.399152e-04	7.399152e-04
9.900000e+00	1.000000e+01	8.511286e-04	3.634691e-04	3.634691e-04
1.000000e+01	1.010000e+01	1.071281e-04	4.187900e-05	4.187900e-05
1.010000e+01	1.020000e+01	8.036348e-04	5.089958e-04	5.089958e-04
1.020000e+01	1.030000e+01	1.908747e-03	1.225722e-03	1.225722e-03
1.030000e+01	1.040000e+01	3.587880e-04	1.809704e-04	1.809704e-04
1.040000e+01	1.050000e+01	6.913634e-04	3.259808e-04	3.259808e-04
1.050000e+01	1.060000e+01	8.914375e-05	4.388050e-05	4.388050e-05
1.060000e+01	1.070000e+01	5.444580e-04	3.385574e-04	3.385574e-04
1.070000e+01	1.080000e+01	4.312583e-04	2.974312e-04	2.974312e-04
1.080000e+01	1.090000e+01	3.601655e-04	1.338747e-04	1.338747e-04
1.090000e+01	1.100000e+01	1.148287e-03	5.229611e-04	5.229611e-04
1.100000e+01	1.110000e+01	1.554170e-04	5.895583e-05	5.895583e-05
1.110000e+01	1.120000e+01	9.350329e-04	5.182702e-04	5.182702e-04
1.120000e+01	1.130000e+01	4.908974e-04	2.417002e-04	2.417002e-04
1.130000e+01	1.140000e+01	6.993855e-04	3.074800e-04	3.074800e-04
1.140000e+01	1.150000e+01	7.423576e-04	2.766229e-04	2.766229e-04
1.150000e+01	1.160000e+01	6.369334e-04	4.884737e-04	4.884737e-04
1.160000e+01	1.170000e+01	9.088836e-04	6.424719e-04	6.424719e-04
1.170000e+01	1.180000e+01	1.067458e-04	6.930367e-05	6.930367e-05
1.180000e+01	1.190000e+01	8.252355e-05	4.357083e-05	4.357083e-05
1.190000e+01	1.200000e+01	2.252571e-04	9.772807e-05	9.772807e-05
1.200000e+01	1.210000e+01	1.642572e-04	6.660750e-05	6.660750e-05
1.210000e+01	1.220000e+01	4.127609e-04	2.084607e-04	2.084607e-04
1.220000e+01	1.230000e+01	5.932697e-05	2.882335e-05	2.882335e-05
1.230000e+01	1.240000e+01	6.196681e-04	5.203066e-04	5.203066e-04
1.240000e+01	1.250000e+01	5.539419e-04	2.587851e-04	2.587851e-04
1.250000e+01	1.260000e+01	2.013127e-04	1.148644e-04	1.148644e-04
1.260000e+01	1.270000e+01	4.456330e-04	2.854252e-04	2.854252e-04
1.270000e+01	1.280000e+01	8.153804e-05	4.141942e-05	4.141942e-05
1.280000e+01	1.290000e+01	2.913126e-04	1.210802e-04	1.210802e-04
1.290000e+01	1.300000e+01	1.813365e-04	7.962271e-05	7.962271e-05
1.300000e+01	1.310000e+01	7.178214e-04	4.075949e-04	4.075949e-04
1.310000e+01	1.320000e+01	4.426487e-05	2.512916e-05	2.512916e-05
1.320000e+01	1.330000e+01	1.100181e-03	7.950021e-04	7.950021e-04
1.330000e+01	1.340000e+01	1.038735e-04	7.614829e-05	7.614829e-05
1.340000e+01	1.350000e+01	8.899145e-05	5.067710e-05	5.067710e-05
1.350000e+01	1.360000e+01	4.139537e-04	2.902248e-04	2.902248e-04
1.360000e+01	1.370000e+01	1.344703e-04	8.857584e-05	8.857584e-05
1.370000e+01	1.380000e+01	4.404528e-05	3.817115e-05	3.817115e-05
1.380000e+01	1.390000e+01	6.448969e-04	5.473874e-04	5.473874e-04
1.390000e+01	1.400000e+01	7.846949e-05	4.264403e-05	4.264403e-05
1.400000e+01	1.410000e+01	1.183332e-04	7.834508e-05	7.834508e-05
1.410000e+01	1.420000e+01	6.579905e-06	6.579905e-06	6.579905e-06
1.420000e+01	1.430000e+01	1.789944e-05	1.789944e-05	1.789944e-05
1.430000e+01	1.440000e+01	1.232606e-04	6.532034e-05	6.532034e-05
