# BEGIN PLOT
Legend=1
LogY=0
Title=Rapidity of all particles
XLabel=$y$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}y$
LegendYPos=0.5
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Rapidity
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Rapidity
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Rapidity
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/Rapidity
ScaledBy=1.16760370957398102e+08
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	2.844055e-02	2.436072e-03	2.436072e-03
-4.800000e+00	-4.600000e+00	3.610477e-02	2.632680e-03	2.632680e-03
-4.600000e+00	-4.400000e+00	3.979109e-02	2.654540e-03	2.654540e-03
-4.400000e+00	-4.200000e+00	5.519075e-02	3.435146e-03	3.435146e-03
-4.200000e+00	-4.000000e+00	6.347745e-02	3.570608e-03	3.570608e-03
-4.000000e+00	-3.800000e+00	8.072925e-02	4.097176e-03	4.097176e-03
-3.800000e+00	-3.600000e+00	8.639370e-02	4.222296e-03	4.222296e-03
-3.600000e+00	-3.400000e+00	1.106440e-01	4.916386e-03	4.916386e-03
-3.400000e+00	-3.200000e+00	1.185258e-01	4.857880e-03	4.857880e-03
-3.200000e+00	-3.000000e+00	1.169022e-01	4.970492e-03	4.970492e-03
-3.000000e+00	-2.800000e+00	1.066799e-01	4.661667e-03	4.661667e-03
-2.800000e+00	-2.600000e+00	1.043071e-01	4.539937e-03	4.539937e-03
-2.600000e+00	-2.400000e+00	1.129678e-01	4.790920e-03	4.790920e-03
-2.400000e+00	-2.200000e+00	9.774670e-02	4.113207e-03	4.113207e-03
-2.200000e+00	-2.000000e+00	1.174982e-01	4.842084e-03	4.842084e-03
-2.000000e+00	-1.800000e+00	1.136286e-01	4.657205e-03	4.657205e-03
-1.800000e+00	-1.600000e+00	1.131151e-01	4.582432e-03	4.582432e-03
-1.600000e+00	-1.400000e+00	1.239313e-01	4.981533e-03	4.981533e-03
-1.400000e+00	-1.200000e+00	1.191412e-01	4.602495e-03	4.602495e-03
-1.200000e+00	-1.000000e+00	1.212457e-01	4.782173e-03	4.782173e-03
-1.000000e+00	-8.000000e-01	1.243067e-01	4.900033e-03	4.900033e-03
-8.000000e-01	-6.000000e-01	1.239969e-01	4.785159e-03	4.785159e-03
-6.000000e-01	-4.000000e-01	1.224009e-01	4.729304e-03	4.729304e-03
-4.000000e-01	-2.000000e-01	1.249289e-01	4.831916e-03	4.831916e-03
-2.000000e-01	0.000000e+00	1.292846e-01	5.072586e-03	5.072586e-03
0.000000e+00	2.000000e-01	1.351014e-01	5.186921e-03	5.186921e-03
2.000000e-01	4.000000e-01	1.230619e-01	4.799714e-03	4.799714e-03
4.000000e-01	6.000000e-01	1.197936e-01	4.682437e-03	4.682437e-03
6.000000e-01	8.000000e-01	1.305222e-01	5.046219e-03	5.046219e-03
8.000000e-01	1.000000e+00	1.252181e-01	4.741753e-03	4.741753e-03
1.000000e+00	1.200000e+00	1.137713e-01	4.520497e-03	4.520497e-03
1.200000e+00	1.400000e+00	1.225052e-01	4.864120e-03	4.864120e-03
1.400000e+00	1.600000e+00	1.233136e-01	4.853427e-03	4.853427e-03
1.600000e+00	1.800000e+00	1.158390e-01	4.728348e-03	4.728348e-03
1.800000e+00	2.000000e+00	1.156903e-01	4.839609e-03	4.839609e-03
2.000000e+00	2.200000e+00	1.118711e-01	4.703396e-03	4.703396e-03
2.200000e+00	2.400000e+00	1.080366e-01	4.670271e-03	4.670271e-03
2.400000e+00	2.600000e+00	1.061974e-01	4.649164e-03	4.649164e-03
2.600000e+00	2.800000e+00	1.046101e-01	4.685352e-03	4.685352e-03
2.800000e+00	3.000000e+00	1.039955e-01	4.662521e-03	4.662521e-03
3.000000e+00	3.200000e+00	9.462695e-02	4.199498e-03	4.199498e-03
3.200000e+00	3.400000e+00	1.037928e-01	4.670596e-03	4.670596e-03
3.400000e+00	3.600000e+00	9.989450e-02	4.585859e-03	4.585859e-03
3.600000e+00	3.800000e+00	9.584760e-02	4.594641e-03	4.594641e-03
3.800000e+00	4.000000e+00	8.260465e-02	4.176283e-03	4.176283e-03
4.000000e+00	4.200000e+00	7.685765e-02	4.212335e-03	4.212335e-03
4.200000e+00	4.400000e+00	6.162900e-02	3.745881e-03	3.745881e-03
4.400000e+00	4.600000e+00	5.651900e-02	3.572155e-03	3.572155e-03
4.600000e+00	4.800000e+00	4.659880e-02	3.238566e-03	3.238566e-03
4.800000e+00	5.000000e+00	3.069242e-02	2.596517e-03	2.596517e-03
# END HISTO1D

