# BEGIN PLOT
Legend=1
LogY=0
Title=Rapidity of charged particles
XLabel=$y$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}y$
LegendYPos=0.5
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/RapidityCh
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/RapidityCh
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/RapidityCh
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/RapidityCh
ScaledBy=4.84070251421719611e+08
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	3.083856e-02	3.302854e-03	3.302854e-03
-4.800000e+00	-4.600000e+00	3.474279e-02	3.285152e-03	3.285152e-03
-4.600000e+00	-4.400000e+00	3.933724e-02	3.344884e-03	3.344884e-03
-4.400000e+00	-4.200000e+00	5.416705e-02	4.372930e-03	4.372930e-03
-4.200000e+00	-4.000000e+00	6.250325e-02	4.438765e-03	4.438765e-03
-4.000000e+00	-3.800000e+00	8.249160e-02	5.370177e-03	5.370177e-03
-3.800000e+00	-3.600000e+00	8.407100e-02	5.234210e-03	5.234210e-03
-3.600000e+00	-3.400000e+00	1.143805e-01	6.311894e-03	6.311894e-03
-3.400000e+00	-3.200000e+00	1.188075e-01	6.234545e-03	6.234545e-03
-3.200000e+00	-3.000000e+00	1.108568e-01	6.025961e-03	6.025961e-03
-3.000000e+00	-2.800000e+00	1.031302e-01	5.735211e-03	5.735211e-03
-2.800000e+00	-2.600000e+00	1.140428e-01	6.057033e-03	6.057033e-03
-2.600000e+00	-2.400000e+00	1.166617e-01	6.246877e-03	6.246877e-03
-2.400000e+00	-2.200000e+00	9.079295e-02	4.900096e-03	4.900096e-03
-2.200000e+00	-2.000000e+00	1.146494e-01	6.112724e-03	6.112724e-03
-2.000000e+00	-1.800000e+00	1.169911e-01	5.979022e-03	5.979022e-03
-1.800000e+00	-1.600000e+00	1.180789e-01	5.983166e-03	5.983166e-03
-1.600000e+00	-1.400000e+00	1.181253e-01	6.008342e-03	6.008342e-03
-1.400000e+00	-1.200000e+00	1.140971e-01	5.681813e-03	5.681813e-03
-1.200000e+00	-1.000000e+00	1.192684e-01	5.923261e-03	5.923261e-03
-1.000000e+00	-8.000000e-01	1.221647e-01	6.167331e-03	6.167331e-03
-8.000000e-01	-6.000000e-01	1.161868e-01	5.782906e-03	5.782906e-03
-6.000000e-01	-4.000000e-01	1.238707e-01	5.998466e-03	5.998466e-03
-4.000000e-01	-2.000000e-01	1.235344e-01	6.000494e-03	6.000494e-03
-2.000000e-01	0.000000e+00	1.283656e-01	6.496312e-03	6.496312e-03
0.000000e+00	2.000000e-01	1.362333e-01	6.615750e-03	6.615750e-03
2.000000e-01	4.000000e-01	1.175813e-01	5.898881e-03	5.898881e-03
4.000000e-01	6.000000e-01	1.188275e-01	5.898862e-03	5.898862e-03
6.000000e-01	8.000000e-01	1.275703e-01	6.366683e-03	6.366683e-03
8.000000e-01	1.000000e+00	1.275740e-01	6.138750e-03	6.138750e-03
1.000000e+00	1.200000e+00	1.154059e-01	5.814488e-03	5.814488e-03
1.200000e+00	1.400000e+00	1.267297e-01	6.320119e-03	6.320119e-03
1.400000e+00	1.600000e+00	1.216096e-01	6.140470e-03	6.140470e-03
1.600000e+00	1.800000e+00	1.170071e-01	6.033815e-03	6.033815e-03
1.800000e+00	2.000000e+00	1.191700e-01	6.359591e-03	6.359591e-03
2.000000e+00	2.200000e+00	1.098726e-01	5.803583e-03	5.803583e-03
2.200000e+00	2.400000e+00	1.077722e-01	5.898665e-03	5.898665e-03
2.400000e+00	2.600000e+00	1.089932e-01	6.080393e-03	6.080393e-03
2.600000e+00	2.800000e+00	1.077346e-01	6.075418e-03	6.075418e-03
2.800000e+00	3.000000e+00	1.111009e-01	6.215201e-03	6.215201e-03
3.000000e+00	3.200000e+00	8.860735e-02	4.995436e-03	4.995436e-03
3.200000e+00	3.400000e+00	1.080630e-01	6.142009e-03	6.142009e-03
3.400000e+00	3.600000e+00	1.029182e-01	5.972813e-03	5.972813e-03
3.600000e+00	3.800000e+00	9.189320e-02	5.612005e-03	5.612005e-03
3.800000e+00	4.000000e+00	8.645225e-02	5.357728e-03	5.357728e-03
4.000000e+00	4.200000e+00	7.799675e-02	5.436295e-03	5.436295e-03
4.200000e+00	4.400000e+00	6.083065e-02	4.769225e-03	4.769225e-03
4.400000e+00	4.600000e+00	6.025420e-02	4.665566e-03	4.665566e-03
4.600000e+00	4.800000e+00	4.752118e-02	4.099618e-03	4.099618e-03
4.800000e+00	5.000000e+00	3.007640e-02	3.195477e-03	3.195477e-03
# END HISTO1D

