# BEGIN PLOT
Legend=1
LogY=0
Title=Rapidity $+/-$ ratio of charged particles
XLabel=$|y|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y_+ \; / \; \mathrm{d}\sigma/\mathrm{d}y_-$
LegendYPos=0.5
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/RapidityChPMRatio
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/RapidityChPMRatio
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/RapidityChPMRatio
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/RapidityChPMRatio
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.061291e+00	7.443740e-02	7.443740e-02
2.000000e-01	4.000000e-01	9.518101e-01	6.646513e-02	6.646513e-02
4.000000e-01	6.000000e-01	9.592866e-01	6.652608e-02	6.652608e-02
6.000000e-01	8.000000e-01	1.097976e+00	7.739003e-02	7.739003e-02
8.000000e-01	1.000000e+00	1.044279e+00	7.283097e-02	7.283097e-02
1.000000e+00	1.200000e+00	9.676150e-01	6.845410e-02	6.845410e-02
1.200000e+00	1.400000e+00	1.110717e+00	7.827958e-02	7.827958e-02
1.400000e+00	1.600000e+00	1.029497e+00	7.378509e-02	7.378509e-02
1.600000e+00	1.800000e+00	9.909231e-01	7.164037e-02	7.164037e-02
1.800000e+00	2.000000e+00	1.018624e+00	7.526652e-02	7.526652e-02
2.000000e+00	2.200000e+00	9.583356e-01	7.192449e-02	7.192449e-02
2.200000e+00	2.400000e+00	1.187011e+00	9.124116e-02	9.124116e-02
2.400000e+00	2.600000e+00	9.342670e-01	7.224398e-02	7.224398e-02
2.600000e+00	2.800000e+00	9.446856e-01	7.318105e-02	7.318105e-02
2.800000e+00	3.000000e+00	1.077288e+00	8.497692e-02	8.497692e-02
3.000000e+00	3.200000e+00	7.992952e-01	6.259654e-02	6.259654e-02
3.200000e+00	3.400000e+00	9.095635e-01	7.036175e-02	7.036175e-02
3.400000e+00	3.600000e+00	8.997878e-01	7.205725e-02	7.205725e-02
3.600000e+00	3.800000e+00	1.093043e+00	9.532620e-02	9.532620e-02
3.800000e+00	4.000000e+00	1.048013e+00	9.419680e-02	9.419680e-02
4.000000e+00	4.200000e+00	1.247883e+00	1.241709e-01	1.241709e-01
4.200000e+00	4.400000e+00	1.123019e+00	1.263795e-01	1.263795e-01
4.400000e+00	4.600000e+00	1.531734e+00	1.761554e-01	1.761554e-01
4.600000e+00	4.800000e+00	1.367800e+00	1.750746e-01	1.750746e-01
4.800000e+00	5.000000e+00	9.752854e-01	1.471317e-01	1.471317e-01
# END HISTO1D

