# BEGIN PLOT
Legend=1
LogY=0
Title=Rapidity $+/-$ ratio of all particles
XLabel=$|y|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y_+ \; / \; \mathrm{d}\sigma/\mathrm{d}y_-$
LegendYPos=0.5
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/RapidityPMRatio
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/RapidityPMRatio
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/RapidityPMRatio
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_FSPARTICLES/RapidityPMRatio
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.044992e+00	5.736479e-02	5.736479e-02
2.000000e-01	4.000000e-01	9.850555e-01	5.410749e-02	5.410749e-02
4.000000e-01	6.000000e-01	9.786982e-01	5.379030e-02	5.379030e-02
6.000000e-01	8.000000e-01	1.052624e+00	5.750058e-02	5.750058e-02
8.000000e-01	1.000000e+00	1.007332e+00	5.506185e-02	5.506185e-02
1.000000e+00	1.200000e+00	9.383534e-01	5.253438e-02	5.253438e-02
1.200000e+00	1.400000e+00	1.028236e+00	5.696135e-02	5.696135e-02
1.400000e+00	1.600000e+00	9.950162e-01	5.597614e-02	5.597614e-02
1.600000e+00	1.800000e+00	1.024080e+00	5.889390e-02	5.889390e-02
1.800000e+00	2.000000e+00	1.018144e+00	5.962731e-02	5.962731e-02
2.000000e+00	2.200000e+00	9.521092e-01	5.605220e-02	5.605220e-02
2.200000e+00	2.400000e+00	1.105271e+00	6.667874e-02	6.667874e-02
2.400000e+00	2.600000e+00	9.400686e-01	5.729894e-02	5.729894e-02
2.600000e+00	2.800000e+00	1.002904e+00	6.263484e-02	6.263484e-02
2.800000e+00	3.000000e+00	9.748366e-01	6.103105e-02	6.103105e-02
3.000000e+00	3.200000e+00	8.094534e-01	4.974914e-02	4.974914e-02
3.200000e+00	3.400000e+00	8.756980e-01	5.330094e-02	5.330094e-02
3.400000e+00	3.600000e+00	9.028463e-01	5.768234e-02	5.768234e-02
3.600000e+00	3.800000e+00	1.109428e+00	7.594919e-02	7.594919e-02
3.800000e+00	4.000000e+00	1.023231e+00	7.330100e-02	7.330100e-02
4.000000e+00	4.200000e+00	1.210786e+00	9.509008e-02	9.509008e-02
4.200000e+00	4.400000e+00	1.116655e+00	9.714473e-02	9.714473e-02
4.400000e+00	4.600000e+00	1.420393e+00	1.305299e-01	1.305299e-01
4.600000e+00	4.800000e+00	1.290655e+00	1.300113e-01	1.300113e-01
4.800000e+00	5.000000e+00	1.079178e+00	1.299215e-01	1.299215e-01
# END HISTO1D

