# BEGIN PLOT
Legend=1
LogY=1
Title=Scalar sum of jet transverse momenta ($H_\text{T}$)
XLabel=$H_\text{T}$ [GeV]
YLabel=$\text{d}\sigma/\text{d}H_\text{T}$ [pb/GeV]
LogX=1
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_HT
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_HT
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_HT
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_HT
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.202941e+01	3.318201e+06	5.640508e+05	5.640508e+05
2.202941e+01	2.426475e+01	1.737488e+06	2.703022e+05	2.703022e+05
2.426475e+01	2.672690e+01	1.353349e+06	2.338607e+05	2.338607e+05
2.672690e+01	2.943889e+01	9.238957e+05	1.986396e+05	1.986396e+05
2.943889e+01	3.242607e+01	9.501932e+05	2.207230e+05	2.207230e+05
3.242607e+01	3.571636e+01	4.120026e+05	9.948631e+04	9.948631e+04
3.571636e+01	3.934052e+01	2.678766e+05	6.982990e+04	6.982990e+04
3.934052e+01	4.333242e+01	8.522724e+04	1.625243e+04	1.625243e+04
4.333242e+01	4.772939e+01	2.201697e+05	6.441405e+04	6.441405e+04
4.772939e+01	5.257251e+01	1.262471e+05	3.405325e+04	3.405325e+04
5.257251e+01	5.790707e+01	1.299598e+05	6.058585e+04	6.058585e+04
5.790707e+01	6.378293e+01	8.615689e+04	2.174274e+04	2.174274e+04
6.378293e+01	7.025502e+01	3.810366e+04	9.825039e+03	9.825039e+03
7.025502e+01	7.738383e+01	2.411527e+04	7.534144e+03	7.534144e+03
7.738383e+01	8.523601e+01	2.229614e+04	5.965088e+03	5.965088e+03
8.523601e+01	9.388495e+01	8.792409e+03	2.759690e+03	2.759690e+03
9.388495e+01	1.034115e+02	1.435303e+04	5.255725e+03	5.255725e+03
1.034115e+02	1.139047e+02	4.481614e+03	1.742057e+03	1.742057e+03
1.139047e+02	1.254627e+02	3.145194e+03	1.201096e+03	1.201096e+03
1.254627e+02	1.381935e+02	1.577325e+03	7.076671e+02	7.076671e+02
1.381935e+02	1.522160e+02	6.170305e+02	3.736267e+02	3.736267e+02
1.522160e+02	1.676615e+02	1.594088e+02	1.594088e+02	1.594088e+02
1.676615e+02	1.846742e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.846742e+02	2.034131e+02	5.208275e+02	4.064916e+02	4.064916e+02
2.034131e+02	2.240536e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.240536e+02	2.467884e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.467884e+02	2.718301e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.718301e+02	2.994129e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.994129e+02	3.297945e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.297945e+02	3.632589e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.632589e+02	4.001189e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.001189e+02	4.407192e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.407192e+02	4.854392e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.854392e+02	5.346970e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.346970e+02	5.889530e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.889530e+02	6.487143e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.487143e+02	7.145397e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.145397e+02	7.870444e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.870444e+02	8.669062e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.669062e+02	9.548716e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.548716e+02	1.051763e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.051763e+03	1.158486e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.158486e+03	1.276038e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.276038e+03	1.405518e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.405518e+03	1.548137e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.548137e+03	1.705227e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.705227e+03	1.878257e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.878257e+03	2.068845e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.068845e+03	2.278772e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.278772e+03	2.510000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

