# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of leading jet
XLabel=$\eta(\text{jet 1})$
YLabel=$\text{d}\sigma/\text{d}\eta(\text{jet 1})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_1
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_1
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_1
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_1
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	1.427680e+06	8.982031e+05	8.982031e+05
-4.400000e+00	-4.200000e+00	2.625805e+06	1.389088e+06	1.389088e+06
-4.200000e+00	-4.000000e+00	3.350861e+06	1.984274e+06	1.984274e+06
-4.000000e+00	-3.800000e+00	4.624216e+06	1.512107e+06	1.512107e+06
-3.800000e+00	-3.600000e+00	2.960203e+06	1.025393e+06	1.025393e+06
-3.600000e+00	-3.400000e+00	6.990330e+06	2.686877e+06	2.686877e+06
-3.400000e+00	-3.200000e+00	1.023180e+07	2.720310e+06	2.720310e+06
-3.200000e+00	-3.000000e+00	2.863261e+06	1.041430e+06	1.041430e+06
-3.000000e+00	-2.800000e+00	3.421876e+06	1.416966e+06	1.416966e+06
-2.800000e+00	-2.600000e+00	3.664082e+06	1.910080e+06	1.910080e+06
-2.600000e+00	-2.400000e+00	1.936397e+06	6.477347e+05	6.477347e+05
-2.400000e+00	-2.200000e+00	1.035233e+06	4.303922e+05	4.303922e+05
-2.200000e+00	-2.000000e+00	1.182023e+06	3.284413e+05	3.284413e+05
-2.000000e+00	-1.800000e+00	1.162059e+06	3.452546e+05	3.452546e+05
-1.800000e+00	-1.600000e+00	1.938924e+06	7.417222e+05	7.417222e+05
-1.600000e+00	-1.400000e+00	2.006176e+06	1.043080e+06	1.043080e+06
-1.400000e+00	-1.200000e+00	1.817846e+06	5.448986e+05	5.448986e+05
-1.200000e+00	-1.000000e+00	4.066511e+06	1.706471e+06	1.706471e+06
-1.000000e+00	-8.000000e-01	1.829851e+06	8.626532e+05	8.626532e+05
-8.000000e-01	-6.000000e-01	2.263969e+06	6.461157e+05	6.461157e+05
-6.000000e-01	-4.000000e-01	2.606725e+06	9.134184e+05	9.134184e+05
-4.000000e-01	-2.000000e-01	4.451998e+06	1.845058e+06	1.845058e+06
-2.000000e-01	0.000000e+00	1.523932e+06	4.744122e+05	4.744122e+05
0.000000e+00	2.000000e-01	4.614428e+06	1.632042e+06	1.632042e+06
2.000000e-01	4.000000e-01	2.890212e+06	1.145827e+06	1.145827e+06
4.000000e-01	6.000000e-01	2.033937e+06	8.791567e+05	8.791567e+05
6.000000e-01	8.000000e-01	4.817975e+06	2.210174e+06	2.210174e+06
8.000000e-01	1.000000e+00	3.956832e+06	1.329544e+06	1.329544e+06
1.000000e+00	1.200000e+00	2.186702e+06	8.175725e+05	8.175725e+05
1.200000e+00	1.400000e+00	1.681495e+06	7.007674e+05	7.007674e+05
1.400000e+00	1.600000e+00	1.863413e+06	7.961021e+05	7.961021e+05
1.600000e+00	1.800000e+00	2.904341e+06	1.410850e+06	1.410850e+06
1.800000e+00	2.000000e+00	2.788782e+06	1.114236e+06	1.114236e+06
2.000000e+00	2.200000e+00	1.008763e+06	3.819196e+05	3.819196e+05
2.200000e+00	2.400000e+00	1.884822e+06	7.922253e+05	7.922253e+05
2.400000e+00	2.600000e+00	6.040795e+05	2.111607e+05	2.111607e+05
2.600000e+00	2.800000e+00	3.363169e+06	1.840869e+06	1.840869e+06
2.800000e+00	3.000000e+00	1.022162e+06	4.946887e+05	4.946887e+05
3.000000e+00	3.200000e+00	1.808630e+06	6.868475e+05	6.868475e+05
3.200000e+00	3.400000e+00	7.267800e+06	2.555063e+06	2.555063e+06
3.400000e+00	3.600000e+00	2.094117e+06	7.203900e+05	7.203900e+05
3.600000e+00	3.800000e+00	4.124002e+06	1.938145e+06	1.938145e+06
3.800000e+00	4.000000e+00	2.456919e+06	1.547880e+06	1.547880e+06
4.000000e+00	4.200000e+00	9.399740e+05	6.614214e+05	6.614214e+05
4.200000e+00	4.400000e+00	4.910612e+05	4.454604e+05	4.454604e+05
4.400000e+00	4.600000e+00	8.559890e+05	5.849842e+05	5.849842e+05
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	7.106735e+05	7.106738e+05	7.106738e+05
# END HISTO1D

