# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of second jet
XLabel=$\eta(\text{jet 2})$
YLabel=$\text{d}\sigma/\text{d}\eta(\text{jet 2})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_2
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_2
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_2
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_2
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	1.499284e+05	8.557847e+04	8.557847e+04
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	1.028951e+05	9.368831e+04	9.368831e+04
-3.400000e+00	-3.200000e+00	1.370471e+05	6.696484e+04	6.696484e+04
-3.200000e+00	-3.000000e+00	1.197775e+05	6.493837e+04	6.493837e+04
-3.000000e+00	-2.800000e+00	9.210840e+04	5.498918e+04	5.498918e+04
-2.800000e+00	-2.600000e+00	4.478175e+05	1.937744e+05	1.937744e+05
-2.600000e+00	-2.400000e+00	2.826016e+05	1.157291e+05	1.157291e+05
-2.400000e+00	-2.200000e+00	1.460234e+05	6.749322e+04	6.749322e+04
-2.200000e+00	-2.000000e+00	1.432500e+05	6.961214e+04	6.961214e+04
-2.000000e+00	-1.800000e+00	1.133126e+05	5.515390e+04	5.515390e+04
-1.800000e+00	-1.600000e+00	3.916514e+05	2.269326e+05	2.269326e+05
-1.600000e+00	-1.400000e+00	4.783076e+05	2.496257e+05	2.496257e+05
-1.400000e+00	-1.200000e+00	4.823007e+05	2.558041e+05	2.558041e+05
-1.200000e+00	-1.000000e+00	4.255580e+05	1.787417e+05	1.787417e+05
-1.000000e+00	-8.000000e-01	3.304090e+05	1.495606e+05	1.495606e+05
-8.000000e-01	-6.000000e-01	4.465314e+05	2.354553e+05	2.354553e+05
-6.000000e-01	-4.000000e-01	2.159697e+05	8.313097e+04	8.313097e+04
-4.000000e-01	-2.000000e-01	1.033914e+06	4.073839e+05	4.073839e+05
-2.000000e-01	0.000000e+00	1.036090e+05	5.607477e+04	5.607477e+04
0.000000e+00	2.000000e-01	4.935408e+05	2.387490e+05	2.387490e+05
2.000000e-01	4.000000e-01	1.779280e+05	7.247286e+04	7.247286e+04
4.000000e-01	6.000000e-01	1.677726e+06	9.682047e+05	9.682047e+05
6.000000e-01	8.000000e-01	2.464631e+05	1.030019e+05	1.030019e+05
8.000000e-01	1.000000e+00	3.344892e+05	1.293369e+05	1.293369e+05
1.000000e+00	1.200000e+00	8.701860e+05	4.955232e+05	4.955232e+05
1.200000e+00	1.400000e+00	6.632740e+05	4.360572e+05	4.360572e+05
1.400000e+00	1.600000e+00	4.177136e+05	1.997395e+05	1.997395e+05
1.600000e+00	1.800000e+00	2.180784e+05	1.142696e+05	1.142696e+05
1.800000e+00	2.000000e+00	2.039388e+05	9.465852e+04	9.465852e+04
2.000000e+00	2.200000e+00	1.951242e+06	1.548581e+06	1.548581e+06
2.200000e+00	2.400000e+00	4.077172e+05	2.343187e+05	2.343187e+05
2.400000e+00	2.600000e+00	2.751536e+05	1.494711e+05	1.494711e+05
2.600000e+00	2.800000e+00	2.460377e+05	9.425447e+04	9.425447e+04
2.800000e+00	3.000000e+00	2.695546e+05	1.572700e+05	1.572700e+05
3.000000e+00	3.200000e+00	1.001421e+05	1.001421e+05	1.001421e+05
3.200000e+00	3.400000e+00	2.714389e+05	1.604393e+05	1.604393e+05
3.400000e+00	3.600000e+00	2.576736e+05	2.212558e+05	2.212558e+05
3.600000e+00	3.800000e+00	5.489000e+04	3.976041e+04	3.976041e+04
3.800000e+00	4.000000e+00	6.050575e+04	6.050576e+04	6.050576e+04
4.000000e+00	4.200000e+00	2.949137e+05	2.088986e+05	2.088986e+05
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	1.310138e+05	1.310138e+05	1.310138e+05
4.600000e+00	4.800000e+00	3.862868e+04	3.862868e+04	3.862868e+04
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

