# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of third jet
XLabel=$\eta(\text{jet 3})$
YLabel=$\text{d}\sigma/\text{d}\eta(\text{jet 3})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_3
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_3
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_3
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_3
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.400000e+00	5.145103e+03	5.145103e+03	5.145103e+03
-3.400000e+00	-3.000000e+00	3.273063e+04	3.273062e+04	3.273062e+04
-3.000000e+00	-2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.600000e+00	-2.200000e+00	3.453968e+04	2.165513e+04	2.165513e+04
-2.200000e+00	-1.800000e+00	1.344857e+05	9.746855e+04	9.746855e+04
-1.800000e+00	-1.400000e+00	6.694632e+04	3.064371e+04	3.064371e+04
-1.400000e+00	-1.000000e+00	5.341613e+03	5.341613e+03	5.341613e+03
-1.000000e+00	-6.000000e-01	1.899169e+04	1.112665e+04	1.112665e+04
-6.000000e-01	-2.000000e-01	3.020415e+04	1.828687e+04	1.828687e+04
-2.000000e-01	2.000000e-01	5.270122e+04	2.680400e+04	2.680400e+04
2.000000e-01	6.000000e-01	5.591780e+03	5.591781e+03	5.591781e+03
6.000000e-01	1.000000e+00	5.242320e+04	2.962423e+04	2.962423e+04
1.000000e+00	1.400000e+00	5.179598e+04	3.837500e+04	3.837500e+04
1.400000e+00	1.800000e+00	7.948905e+03	7.948903e+03	7.948903e+03
1.800000e+00	2.200000e+00	8.438717e+04	6.772303e+04	6.772303e+04
2.200000e+00	2.600000e+00	3.179393e+04	2.243068e+04	2.243068e+04
2.600000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.400000e+00	6.155373e+03	6.155372e+03	6.155372e+03
3.400000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.200000e+00	2.450684e+04	2.450684e+04	2.450684e+04
4.200000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

