# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity $+/-$ ratio of first jet
XLabel=$|\eta(\text{jet 1}|$
YLabel=$\eta(\text{jet 1})_+/\eta(\text{jet 1})_-$
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.027975e+00	1.426700e+00	1.426700e+00
2.000000e-01	4.000000e-01	6.491942e-01	3.723277e-01	3.723277e-01
4.000000e-01	6.000000e-01	7.802653e-01	4.341675e-01	4.341675e-01
6.000000e-01	8.000000e-01	2.128110e+00	1.149742e+00	1.149742e+00
8.000000e-01	1.000000e+00	2.162380e+00	1.251855e+00	1.251855e+00
1.000000e+00	1.200000e+00	5.377342e-01	3.022271e-01	3.022271e-01
1.200000e+00	1.400000e+00	9.249929e-01	4.748490e-01	4.748490e-01
1.400000e+00	1.600000e+00	9.288384e-01	6.250576e-01	6.250576e-01
1.600000e+00	1.800000e+00	1.497914e+00	9.261843e-01	9.261843e-01
1.800000e+00	2.000000e+00	2.399864e+00	1.194896e+00	1.194896e+00
2.000000e+00	2.200000e+00	8.534202e-01	4.007874e-01	4.007874e-01
2.200000e+00	2.400000e+00	1.820675e+00	1.076373e+00	1.076373e+00
2.400000e+00	2.600000e+00	3.119604e-01	1.509335e-01	1.509335e-01
2.600000e+00	2.800000e+00	9.178749e-01	6.938045e-01	6.938045e-01
2.800000e+00	3.000000e+00	2.987140e-01	1.902625e-01	1.902625e-01
3.000000e+00	3.200000e+00	6.316678e-01	3.321587e-01	3.321587e-01
3.200000e+00	3.400000e+00	7.103147e-01	3.130868e-01	3.130868e-01
3.400000e+00	3.600000e+00	2.995735e-01	1.545292e-01	1.545292e-01
3.600000e+00	3.800000e+00	1.393148e+00	8.133613e-01	8.133613e-01
3.800000e+00	4.000000e+00	5.313159e-01	3.771362e-01	3.771362e-01
4.000000e+00	4.200000e+00	2.805172e-01	2.579842e-01	2.579842e-01
4.200000e+00	4.400000e+00	1.870136e-01	1.963871e-01	1.963871e-01
4.400000e+00	4.600000e+00	5.995666e-01	5.569352e-01	5.569352e-01
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

