# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity $+/-$ ratio of second jet
XLabel=$|\eta(\text{jet 2}|$
YLabel=$\eta(\text{jet 2})_+/\eta(\text{jet 2})_-$
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	4.763493e+00	3.457802e+00	3.457802e+00
2.000000e-01	4.000000e-01	1.720916e-01	9.752576e-02	9.752576e-02
4.000000e-01	6.000000e-01	7.768340e+00	5.388788e+00	5.388788e+00
6.000000e-01	8.000000e-01	5.519504e-01	3.713690e-01	3.713690e-01
8.000000e-01	1.000000e+00	1.012349e+00	6.026737e-01	6.026737e-01
1.000000e+00	1.200000e+00	2.044812e+00	1.446887e+00	1.446887e+00
1.200000e+00	1.400000e+00	1.375230e+00	1.161660e+00	1.161660e+00
1.400000e+00	1.600000e+00	8.733159e-01	6.181587e-01	6.181587e-01
1.600000e+00	1.800000e+00	5.568176e-01	4.349927e-01	4.349927e-01
1.800000e+00	2.000000e+00	1.799789e+00	1.210488e+00	1.210488e+00
2.000000e+00	2.200000e+00	1.362123e+01	1.267586e+01	1.267586e+01
2.200000e+00	2.400000e+00	2.792136e+00	2.059239e+00	2.059239e+00
2.400000e+00	2.600000e+00	9.736447e-01	6.623628e-01	6.623628e-01
2.600000e+00	2.800000e+00	5.494151e-01	3.175193e-01	3.175193e-01
2.800000e+00	3.000000e+00	2.926493e+00	2.442915e+00	2.442915e+00
3.000000e+00	3.200000e+00	8.360672e-01	9.510372e-01	9.510372e-01
3.200000e+00	3.400000e+00	1.980625e+00	1.518920e+00	1.518920e+00
3.400000e+00	3.600000e+00	2.504237e+00	3.134160e+00	3.134160e+00
3.600000e+00	3.800000e+00	nan	nan	nan
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	1.967031e+00	1.789404e+00	1.789404e+00
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

