# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of first jet
XLabel=$m(\text{jet 1})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}m(\text{jet 1})$ [pb/GeV]
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_mass_1
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_mass_1
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_mass_1
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_mass_1
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.047129e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.047129e+00	1.096478e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+00	1.148154e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.148154e+00	1.202264e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+00	1.258925e+00	1.655587e+05	1.655587e+05	1.655587e+05
1.258925e+00	1.318257e+00	2.547709e+05	2.547709e+05	2.547709e+05
1.318257e+00	1.380384e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.380384e+00	1.445440e+00	3.239637e+06	2.935342e+06	2.935342e+06
1.445440e+00	1.513561e+00	2.648072e+06	2.648072e+06	2.648072e+06
1.513561e+00	1.584893e+00	2.066889e+06	1.833666e+06	1.833666e+06
1.584893e+00	1.659587e+00	4.874797e+04	4.874797e+04	4.874797e+04
1.659587e+00	1.737801e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.737801e+00	1.819701e+00	1.136116e+06	8.240271e+05	8.240271e+05
1.819701e+00	1.905461e+00	7.663589e+05	4.296298e+05	4.296298e+05
1.905461e+00	1.995262e+00	2.030336e+06	1.992220e+06	1.992220e+06
1.995262e+00	2.089296e+00	2.790138e+05	2.181926e+05	2.181926e+05
2.089296e+00	2.187762e+00	1.874114e+06	9.720694e+05	9.720694e+05
2.187762e+00	2.290868e+00	5.726533e+05	3.078751e+05	3.078751e+05
2.290868e+00	2.398833e+00	4.089763e+05	2.034853e+05	2.034853e+05
2.398833e+00	2.511886e+00	4.769269e+06	2.958381e+06	2.958381e+06
2.511886e+00	2.630268e+00	1.072388e+06	3.546580e+05	3.546580e+05
2.630268e+00	2.754229e+00	3.026779e+05	1.942742e+05	1.942742e+05
2.754229e+00	2.884032e+00	1.608917e+06	5.682447e+05	5.682447e+05
2.884032e+00	3.019952e+00	5.200062e+06	2.113117e+06	2.113117e+06
3.019952e+00	3.162278e+00	3.548683e+06	1.356508e+06	1.356508e+06
3.162278e+00	3.311311e+00	3.792944e+06	2.393970e+06	2.393970e+06
3.311311e+00	3.467369e+00	2.891503e+06	1.011495e+06	1.011495e+06
3.467369e+00	3.630781e+00	6.158067e+06	2.728942e+06	2.728942e+06
3.630781e+00	3.801894e+00	4.893124e+06	1.371880e+06	1.371880e+06
3.801894e+00	3.981072e+00	2.844808e+06	8.750144e+05	8.750144e+05
3.981072e+00	4.168694e+00	6.826086e+06	2.834961e+06	2.834961e+06
4.168694e+00	4.365158e+00	6.590424e+06	2.175290e+06	2.175290e+06
4.365158e+00	4.570882e+00	6.025714e+06	1.895712e+06	1.895712e+06
4.570882e+00	4.786301e+00	7.188289e+06	1.860089e+06	1.860089e+06
4.786301e+00	5.011872e+00	5.885539e+06	2.157729e+06	2.157729e+06
5.011872e+00	5.248075e+00	4.087570e+06	1.291774e+06	1.291774e+06
5.248075e+00	5.495409e+00	5.218789e+06	1.684033e+06	1.684033e+06
5.495409e+00	5.754399e+00	4.788586e+06	1.181651e+06	1.181651e+06
5.754399e+00	6.025596e+00	4.746192e+06	1.504616e+06	1.504616e+06
6.025596e+00	6.309573e+00	6.144434e+06	1.597308e+06	1.597308e+06
6.309573e+00	6.606934e+00	1.761289e+06	4.667765e+05	4.667765e+05
6.606934e+00	6.918310e+00	3.134208e+06	1.491045e+06	1.491045e+06
6.918310e+00	7.244360e+00	2.835898e+06	8.010935e+05	8.010935e+05
7.244360e+00	7.585776e+00	9.686415e+05	2.935427e+05	2.935427e+05
7.585776e+00	7.943282e+00	1.507032e+06	6.231356e+05	6.231356e+05
7.943282e+00	8.317638e+00	9.209242e+05	2.438005e+05	2.438005e+05
8.317638e+00	8.709636e+00	2.754287e+06	1.122866e+06	1.122866e+06
8.709636e+00	9.120108e+00	4.233146e+05	1.149183e+05	1.149183e+05
9.120108e+00	9.549926e+00	4.395111e+05	2.116595e+05	2.116595e+05
9.549926e+00	1.000000e+01	2.123074e+05	5.851589e+04	5.851589e+04
1.000000e+01	1.047129e+01	5.931762e+05	2.548738e+05	2.548738e+05
1.047129e+01	1.096478e+01	2.354171e+05	1.122791e+05	1.122791e+05
1.096478e+01	1.148154e+01	2.318123e+04	1.381835e+04	1.381835e+04
1.148154e+01	1.202264e+01	5.173240e+04	2.649458e+04	2.649458e+04
1.202264e+01	1.258925e+01	4.848287e+04	3.107909e+04	3.107909e+04
1.258925e+01	1.318257e+01	4.639016e+04	2.610971e+04	2.610971e+04
1.318257e+01	1.380384e+01	2.290400e+04	1.972470e+04	1.972470e+04
1.380384e+01	1.445440e+01	1.006525e+04	7.122498e+03	7.122498e+03
1.445440e+01	1.513561e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.513561e+01	1.584893e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e+01	1.659587e+01	4.436812e+03	4.436812e+03	4.436812e+03
1.659587e+01	1.737801e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.737801e+01	1.819701e+01	3.427780e+03	3.427780e+03	3.427780e+03
1.819701e+01	1.905461e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e+01	1.995262e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.995262e+01	2.089296e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.089296e+01	2.187762e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.187762e+01	2.290868e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.290868e+01	2.398833e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.398833e+01	2.511886e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.511886e+01	2.630268e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.630268e+01	2.754229e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.754229e+01	2.884032e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.884032e+01	3.019952e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.019952e+01	3.162278e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.162278e+01	3.311311e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.311311e+01	3.467369e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.467369e+01	3.630781e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.630781e+01	3.801894e+01	0.000000e+00	0.000000e+00	0.000000e+00
