# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of second jet
XLabel=$m(\text{jet 2})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}m(\text{jet 2})$ [pb/GeV]
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_mass_2
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_mass_2
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_mass_2
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_mass_2
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+00	1.202264e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+00	1.318257e+00	9.040787e+04	9.040785e+04	9.040785e+04
1.318257e+00	1.445440e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e+00	1.584893e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e+00	1.737801e+00	2.383887e+04	2.383887e+04	2.383887e+04
1.737801e+00	1.905461e+00	3.345486e+04	3.345486e+04	3.345486e+04
1.905461e+00	2.089296e+00	3.859433e+05	2.206500e+05	2.206500e+05
2.089296e+00	2.290868e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.290868e+00	2.511886e+00	2.559495e+05	1.707692e+05	1.707692e+05
2.511886e+00	2.754229e+00	4.139567e+05	1.963304e+05	1.963304e+05
2.754229e+00	3.019952e+00	1.422490e+05	7.819624e+04	7.819624e+04
3.019952e+00	3.311311e+00	1.575162e+05	1.014433e+05	1.014433e+05
3.311311e+00	3.630781e+00	4.824685e+05	2.530424e+05	2.530424e+05
3.630781e+00	3.981072e+00	6.899064e+05	2.672007e+05	2.672007e+05
3.981072e+00	4.365158e+00	6.912181e+05	2.060703e+05	2.060703e+05
4.365158e+00	4.786301e+00	5.307147e+05	1.782148e+05	1.782148e+05
4.786301e+00	5.248075e+00	1.076636e+06	4.243869e+05	4.243869e+05
5.248075e+00	5.754399e+00	8.439760e+05	2.612156e+05	2.612156e+05
5.754399e+00	6.309573e+00	3.488899e+05	9.908978e+04	9.908978e+04
6.309573e+00	6.918310e+00	7.888280e+05	5.052268e+05	5.052268e+05
6.918310e+00	7.585776e+00	1.359154e+05	4.632671e+04	4.632671e+04
7.585776e+00	8.317638e+00	1.277964e+05	3.767141e+04	3.767141e+04
8.317638e+00	9.120108e+00	5.616824e+04	2.466962e+04	2.466962e+04
9.120108e+00	1.000000e+01	1.065128e+04	8.516635e+03	8.516635e+03
1.000000e+01	1.096478e+01	5.513429e+03	3.904484e+03	3.904484e+03
1.096478e+01	1.202264e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+01	1.318257e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e+01	1.445440e+01	2.044298e+03	2.044297e+03	2.044297e+03
1.445440e+01	1.584893e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e+01	1.737801e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.737801e+01	1.905461e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e+01	2.089296e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.089296e+01	2.290868e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.290868e+01	2.511886e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.511886e+01	2.754229e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.754229e+01	3.019952e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.019952e+01	3.311311e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.311311e+01	3.630781e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.630781e+01	3.981072e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e+01	4.365158e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.365158e+01	4.786301e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e+01	5.248075e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.248075e+01	5.754399e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e+01	6.309573e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.309573e+01	6.918310e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e+01	7.585776e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.585776e+01	8.317638e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e+01	9.120108e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.120108e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

