# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of third jet
XLabel=$m(\text{jet 3})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}m(\text{jet 3})$ [pb/GeV]
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_mass_3
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_mass_3
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_mass_3
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_mass_3
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.149757e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.149757e+00	1.321941e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.321941e+00	1.519911e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.519911e+00	1.747528e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.747528e+00	2.009233e+00	4.052586e+04	4.052587e+04	4.052587e+04
2.009233e+00	2.310130e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.310130e+00	2.656088e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.656088e+00	3.053856e+00	4.264413e+04	3.051780e+04	3.051780e+04
3.053856e+00	3.511192e+00	8.036977e+04	4.411910e+04	4.411910e+04
3.511192e+00	4.037017e+00	8.174227e+04	5.244799e+04	5.244799e+04
4.037017e+00	4.641589e+00	4.609800e+04	1.820862e+04	1.820862e+04
4.641589e+00	5.336699e+00	2.173335e+04	1.127143e+04	1.127143e+04
5.336699e+00	6.135907e+00	1.079300e+05	5.149991e+04	5.149991e+04
6.135907e+00	7.054802e+00	8.987170e+03	6.808017e+03	6.808017e+03
7.054802e+00	8.111308e+00	5.354828e+03	3.898109e+03	3.898109e+03
8.111308e+00	9.326033e+00	6.436408e+03	6.436408e+03	6.436408e+03
9.326033e+00	1.072267e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.072267e+01	1.232847e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.232847e+01	1.417474e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.417474e+01	1.629751e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.629751e+01	1.873817e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.873817e+01	2.154435e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.154435e+01	2.477076e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.477076e+01	2.848036e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.848036e+01	3.274549e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.274549e+01	3.764936e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.764936e+01	4.328761e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.328761e+01	4.977024e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.977024e+01	5.722368e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.722368e+01	6.579332e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.579332e+01	7.564633e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.564633e+01	8.697490e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.697490e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

