# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of leading jet
XLabel=$p_\perp(\text{jet 1})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}p_\perp(\text{jet 1})$ [pb/GeV]
LogX=1
XMin=20.0
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_pT_1
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_pT_1
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_pT_1
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_pT_1
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.049510e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.049510e+01	1.101471e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.101471e+01	1.156004e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.156004e+01	1.213237e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.213237e+01	1.273304e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.273304e+01	1.336345e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.336345e+01	1.402507e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.402507e+01	1.471945e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.471945e+01	1.544820e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.544820e+01	1.621304e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.621304e+01	1.701574e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.701574e+01	1.785818e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.785818e+01	1.874233e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.874233e+01	1.967026e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.967026e+01	2.064413e+01	1.537991e+06	4.119069e+05	4.119069e+05
2.064413e+01	2.166621e+01	4.237564e+06	9.456156e+05	9.456156e+05
2.166621e+01	2.273890e+01	2.432687e+06	5.844721e+05	5.844721e+05
2.273890e+01	2.386469e+01	1.817074e+06	3.961580e+05	3.961580e+05
2.386469e+01	2.504623e+01	1.512999e+06	2.940307e+05	2.940307e+05
2.504623e+01	2.628626e+01	1.786655e+06	4.011601e+05	4.011601e+05
2.628626e+01	2.758768e+01	9.138856e+05	1.937164e+05	1.937164e+05
2.758768e+01	2.895354e+01	9.265254e+05	2.884000e+05	2.884000e+05
2.895354e+01	3.038702e+01	1.153761e+06	3.510091e+05	3.510091e+05
3.038702e+01	3.189147e+01	1.097604e+06	3.335404e+05	3.335404e+05
3.189147e+01	3.347040e+01	7.836123e+05	2.349665e+05	2.349665e+05
3.347040e+01	3.512751e+01	5.817727e+05	1.772781e+05	1.772781e+05
3.512751e+01	3.686666e+01	4.134691e+05	1.251573e+05	1.251573e+05
3.686666e+01	3.869192e+01	3.629316e+05	9.747431e+04	9.747431e+04
3.869192e+01	4.060754e+01	1.351260e+05	2.809622e+04	2.809622e+04
4.060754e+01	4.261801e+01	1.492360e+05	2.897862e+04	2.897862e+04
4.261801e+01	4.472801e+01	7.954773e+04	1.659604e+04	1.659604e+04
4.472801e+01	4.694248e+01	1.738803e+05	8.080946e+04	8.080946e+04
4.694248e+01	4.926658e+01	7.058014e+04	2.408672e+04	2.408672e+04
4.926658e+01	5.170575e+01	7.760566e+04	5.487773e+04	5.487773e+04
5.170575e+01	5.426569e+01	5.280264e+04	1.814786e+04	1.814786e+04
5.426569e+01	5.695236e+01	6.406540e+03	3.189716e+03	3.189716e+03
5.695236e+01	5.977205e+01	1.434617e+04	7.314101e+03	7.314101e+03
5.977205e+01	6.273135e+01	5.977238e+03	3.178524e+03	3.178524e+03
6.273135e+01	6.583715e+01	2.831646e+04	1.721815e+04	1.721815e+04
6.583715e+01	6.909673e+01	7.794326e+03	3.621976e+03	3.621976e+03
6.909673e+01	7.251768e+01	6.220392e+03	2.482043e+03	2.482043e+03
7.251768e+01	7.610801e+01	2.529589e+03	1.913980e+03	1.913980e+03
7.610801e+01	7.987609e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.987609e+01	8.383073e+01	7.098881e+02	7.098881e+02	7.098881e+02
8.383073e+01	8.798116e+01	1.380678e+03	1.019911e+03	1.019911e+03
8.798116e+01	9.233708e+01	1.643679e+03	1.643679e+03	1.643679e+03
9.233708e+01	9.690865e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.690865e+01	1.017066e+02	5.402328e+02	5.402327e+02	5.402327e+02
1.017066e+02	1.067420e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.067420e+02	1.120268e+02	4.919768e+02	4.919768e+02	4.919768e+02
1.120268e+02	1.175732e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.175732e+02	1.233942e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.233942e+02	1.295034e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.295034e+02	1.359151e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.359151e+02	1.426442e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.426442e+02	1.497064e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.497064e+02	1.571184e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.571184e+02	1.648972e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.648972e+02	1.730612e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.730612e+02	1.816294e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.816294e+02	1.906218e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.906218e+02	2.000595e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000595e+02	2.099643e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.099643e+02	2.203596e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.203596e+02	2.312695e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.312695e+02	2.427196e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.427196e+02	2.547366e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.547366e+02	2.673485e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.673485e+02	2.805848e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.805848e+02	2.944765e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.944765e+02	3.090559e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.090559e+02	3.243572e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.243572e+02	3.404160e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.404160e+02	3.572698e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.572698e+02	3.749581e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.749581e+02	3.935222e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.935222e+02	4.130053e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.130053e+02	4.334531e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.334531e+02	4.549132e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.549132e+02	4.774358e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.774358e+02	5.010735e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.010735e+02	5.258815e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.258815e+02	5.519177e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.519177e+02	5.792429e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.792429e+02	6.079210e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.079210e+02	6.380190e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.380190e+02	6.696071e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.696071e+02	7.027591e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.027591e+02	7.375525e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.375525e+02	7.740684e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.740684e+02	8.123923e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.123923e+02	8.526135e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.526135e+02	8.948261e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.948261e+02	9.391287e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.391287e+02	9.856246e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.856246e+02	1.034423e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.034423e+03	1.085636e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.085636e+03	1.139386e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.139386e+03	1.195797e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.195797e+03	1.255000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

