# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of third jet
XLabel=$p_\perp(\text{jet 3})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}p_\perp(\text{jet 3})$ [pb/GeV]
LogX=1
XMin=20.0
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_pT_3
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_pT_3
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_pT_3
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_pT_3
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.133635e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.133635e+01	1.285128e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.285128e+01	1.456865e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.456865e+01	1.651553e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.651553e+01	1.872258e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.872258e+01	2.122457e+01	2.464452e+04	8.440354e+03	8.440354e+03
2.122457e+01	2.406091e+01	3.508251e+04	1.215123e+04	1.215123e+04
2.406091e+01	2.727628e+01	1.819513e+04	1.232769e+04	1.232769e+04
2.727628e+01	3.092134e+01	5.489904e+03	3.167424e+03	3.167424e+03
3.092134e+01	3.505350e+01	6.152424e+02	6.152424e+02	6.152424e+02
3.505350e+01	3.973787e+01	1.663086e+03	1.298104e+03	1.298104e+03
3.973787e+01	4.504823e+01	1.555735e+03	1.186432e+03	1.186432e+03
4.504823e+01	5.106824e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.106824e+01	5.789273e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.789273e+01	6.562921e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.562921e+01	7.439955e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.439955e+01	8.434191e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.434191e+01	9.561292e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.561292e+01	1.083901e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.083901e+02	1.228748e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.228748e+02	1.392952e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.392952e+02	1.579098e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.579098e+02	1.790121e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.790121e+02	2.029343e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.029343e+02	2.300534e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.300534e+02	2.607965e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.607965e+02	2.956479e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.956479e+02	3.351568e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.351568e+02	3.799454e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.799454e+02	4.307193e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.307193e+02	4.882783e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.882783e+02	5.535293e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.535293e+02	6.275000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

