# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of fourth jet
XLabel=$p_\perp(\text{jet 4})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}p_\perp(\text{jet 4})$ [pb/GeV]
LogX=1
XMin=20.0
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_pT_4
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_pT_4
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_pT_4
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_pT_4
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.169575e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.169575e+01	1.367906e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.367906e+01	1.599869e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.599869e+01	1.871167e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.871167e+01	2.188471e+01	3.537141e+03	2.687566e+03	2.687566e+03
2.188471e+01	2.559581e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.559581e+01	2.993623e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.993623e+01	3.501267e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.501267e+01	4.094995e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.094995e+01	4.789404e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.789404e+01	5.601568e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.601568e+01	6.551455e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.551455e+01	7.662420e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.662420e+01	8.961776e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.961776e+01	1.048147e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.048147e+02	1.225887e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.225887e+02	1.433767e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.433767e+02	1.676898e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.676898e+02	1.961258e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.961258e+02	2.293839e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.293839e+02	2.682817e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.682817e+02	3.137757e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.137757e+02	3.669842e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.669842e+02	4.292157e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.292157e+02	5.020000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

