# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of first jet
XLabel=$y(\text{jet 1})$
YLabel=$\text{d}\sigma/\text{d}y(\text{jet 1})$ [pb]
LegendYPos=0.5
LegendXPos=0.3
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_1
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_1
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_1
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_1
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	1.427680e+06	8.982031e+05	8.982031e+05
-4.400000e+00	-4.200000e+00	2.580622e+06	1.388353e+06	1.388353e+06
-4.200000e+00	-4.000000e+00	3.396044e+06	1.984788e+06	1.984788e+06
-4.000000e+00	-3.800000e+00	3.900408e+06	1.346675e+06	1.346675e+06
-3.800000e+00	-3.600000e+00	3.063917e+06	1.163063e+06	1.163063e+06
-3.600000e+00	-3.400000e+00	6.441170e+06	2.571017e+06	2.571017e+06
-3.400000e+00	-3.200000e+00	1.047307e+07	2.782518e+06	2.782518e+06
-3.200000e+00	-3.000000e+00	3.548945e+06	1.214128e+06	1.214128e+06
-3.000000e+00	-2.800000e+00	3.554539e+06	1.429948e+06	1.429948e+06
-2.800000e+00	-2.600000e+00	3.773721e+06	1.913224e+06	1.913224e+06
-2.600000e+00	-2.400000e+00	1.898494e+06	6.466249e+05	6.466249e+05
-2.400000e+00	-2.200000e+00	9.357025e+05	4.257655e+05	4.257655e+05
-2.200000e+00	-2.000000e+00	1.285911e+06	3.348824e+05	3.348824e+05
-2.000000e+00	-1.800000e+00	1.185525e+06	3.467340e+05	3.467340e+05
-1.800000e+00	-1.600000e+00	1.442425e+06	6.378897e+05	6.378897e+05
-1.600000e+00	-1.400000e+00	2.418409e+06	1.107703e+06	1.107703e+06
-1.400000e+00	-1.200000e+00	1.896141e+06	5.486497e+05	5.486497e+05
-1.200000e+00	-1.000000e+00	3.872687e+06	1.701050e+06	1.701050e+06
-1.000000e+00	-8.000000e-01	1.996692e+06	8.728847e+05	8.728847e+05
-8.000000e-01	-6.000000e-01	2.307001e+06	6.468663e+05	6.468663e+05
-6.000000e-01	-4.000000e-01	2.535319e+06	9.123060e+05	9.123060e+05
-4.000000e-01	-2.000000e-01	4.523405e+06	1.845608e+06	1.845608e+06
-2.000000e-01	0.000000e+00	1.523932e+06	4.744122e+05	4.744122e+05
0.000000e+00	2.000000e-01	4.673695e+06	1.632624e+06	1.632624e+06
2.000000e-01	4.000000e-01	2.886934e+06	1.145481e+06	1.145481e+06
4.000000e-01	6.000000e-01	2.060985e+06	8.810614e+05	8.810614e+05
6.000000e-01	8.000000e-01	4.734938e+06	2.209164e+06	2.209164e+06
8.000000e-01	1.000000e+00	3.989000e+06	1.329934e+06	1.329934e+06
1.000000e+00	1.200000e+00	2.587213e+06	9.019644e+05	9.019644e+05
1.200000e+00	1.400000e+00	1.306917e+06	5.881016e+05	5.881016e+05
1.400000e+00	1.600000e+00	2.113836e+06	8.532454e+05	8.532454e+05
1.600000e+00	1.800000e+00	2.971630e+06	1.420773e+06	1.420773e+06
1.800000e+00	2.000000e+00	2.412969e+06	1.057468e+06	1.057468e+06
2.000000e+00	2.200000e+00	1.278549e+06	4.519679e+05	4.519679e+05
2.200000e+00	2.400000e+00	1.627962e+06	7.545697e+05	7.545697e+05
2.400000e+00	2.600000e+00	6.537910e+05	2.198755e+05	2.198755e+05
2.600000e+00	2.800000e+00	3.320668e+06	1.839913e+06	1.839913e+06
2.800000e+00	3.000000e+00	1.088815e+06	4.989932e+05	4.989932e+05
3.000000e+00	3.200000e+00	1.949907e+06	6.983123e+05	6.983123e+05
3.200000e+00	3.400000e+00	7.178160e+06	2.552491e+06	2.552491e+06
3.400000e+00	3.600000e+00	2.128057e+06	7.234858e+05	7.234858e+05
3.600000e+00	3.800000e+00	3.951634e+06	1.935074e+06	1.935074e+06
3.800000e+00	4.000000e+00	2.456919e+06	1.547880e+06	1.547880e+06
4.000000e+00	4.200000e+00	9.399740e+05	6.614214e+05	6.614214e+05
4.200000e+00	4.400000e+00	4.910612e+05	4.454604e+05	4.454604e+05
4.400000e+00	4.600000e+00	8.559890e+05	5.849842e+05	5.849842e+05
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	7.106735e+05	7.106738e+05	7.106738e+05
# END HISTO1D

