# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of second jet
XLabel=$y(\text{jet 2})$
YLabel=$\text{d}\sigma/\text{d}y(\text{jet 2})$ [pb]
LegendYPos=0.5
LegendXPos=0.3
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_2
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_2
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_2
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_2
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	5.287155e+04	4.383916e+04	4.383916e+04
-4.000000e+00	-3.800000e+00	9.705685e+04	7.349696e+04	7.349696e+04
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	9.318365e+04	9.318362e+04	9.318362e+04
-3.400000e+00	-3.200000e+00	9.588635e+04	4.461638e+04	4.461638e+04
-3.200000e+00	-3.000000e+00	1.706497e+05	8.249227e+04	8.249227e+04
-3.000000e+00	-2.800000e+00	7.918230e+04	5.344834e+04	5.344834e+04
-2.800000e+00	-2.600000e+00	4.607436e+05	1.942050e+05	1.942050e+05
-2.600000e+00	-2.400000e+00	2.826016e+05	1.157291e+05	1.157291e+05
-2.400000e+00	-2.200000e+00	1.460234e+05	6.749322e+04	6.749322e+04
-2.200000e+00	-2.000000e+00	1.432500e+05	6.961214e+04	6.961214e+04
-2.000000e+00	-1.800000e+00	1.133126e+05	5.515390e+04	5.515390e+04
-1.800000e+00	-1.600000e+00	3.629847e+05	2.259811e+05	2.259811e+05
-1.600000e+00	-1.400000e+00	4.876636e+05	2.497419e+05	2.497419e+05
-1.400000e+00	-1.200000e+00	5.016115e+05	2.565320e+05	2.565320e+05
-1.200000e+00	-1.000000e+00	4.155664e+05	1.784623e+05	1.784623e+05
-1.000000e+00	-8.000000e-01	2.117554e+05	7.693267e+04	7.693267e+04
-8.000000e-01	-6.000000e-01	5.751765e+05	2.683072e+05	2.683072e+05
-6.000000e-01	-4.000000e-01	2.159697e+05	8.313097e+04	8.313097e+04
-4.000000e-01	-2.000000e-01	1.033914e+06	4.073839e+05	4.073839e+05
-2.000000e-01	0.000000e+00	1.036090e+05	5.607477e+04	5.607477e+04
0.000000e+00	2.000000e-01	4.935408e+05	2.387490e+05	2.387490e+05
2.000000e-01	4.000000e-01	1.889892e+05	7.331211e+04	7.331211e+04
4.000000e-01	6.000000e-01	1.694334e+06	9.685369e+05	9.685369e+05
6.000000e-01	8.000000e-01	2.866844e+05	1.202205e+05	1.202205e+05
8.000000e-01	1.000000e+00	2.665981e+05	1.100856e+05	1.100856e+05
1.000000e+00	1.200000e+00	8.701860e+05	4.955232e+05	4.955232e+05
1.200000e+00	1.400000e+00	6.632740e+05	4.360572e+05	4.360572e+05
1.400000e+00	1.600000e+00	4.177136e+05	1.997395e+05	1.997395e+05
1.600000e+00	1.800000e+00	3.200388e+05	1.387770e+05	1.387770e+05
1.800000e+00	2.000000e+00	1.019783e+05	5.252357e+04	5.252357e+04
2.000000e+00	2.200000e+00	2.069231e+06	1.553069e+06	1.553069e+06
2.200000e+00	2.400000e+00	2.897280e+05	2.024446e+05	2.024446e+05
2.400000e+00	2.600000e+00	2.940882e+05	1.506656e+05	1.506656e+05
2.600000e+00	2.800000e+00	3.341459e+05	1.338630e+05	1.338630e+05
2.800000e+00	3.000000e+00	1.625118e+05	1.238544e+05	1.238544e+05
3.000000e+00	3.200000e+00	1.001421e+05	1.001421e+05	1.001421e+05
3.200000e+00	3.400000e+00	2.714389e+05	1.604393e+05	1.604393e+05
3.400000e+00	3.600000e+00	2.790181e+05	2.222829e+05	2.222829e+05
3.600000e+00	3.800000e+00	3.354557e+04	3.354557e+04	3.354557e+04
3.800000e+00	4.000000e+00	6.050575e+04	6.050576e+04	6.050576e+04
4.000000e+00	4.200000e+00	2.949137e+05	2.088986e+05	2.088986e+05
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	1.310138e+05	1.310138e+05	1.310138e+05
4.600000e+00	4.800000e+00	3.862868e+04	3.862868e+04	3.862868e+04
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

