# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity $+/-$ ratio of first jet
XLabel=$|y(\text{jet 1}|$
YLabel=$y(\text{jet 1})_+/y(\text{jet 1})_-$
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_pmratio_1
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_pmratio_1
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_pmratio_1
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_pmratio_1
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.066866e+00	1.435013e+00	1.435013e+00
2.000000e-01	4.000000e-01	6.382215e-01	3.632314e-01	3.632314e-01
4.000000e-01	6.000000e-01	8.129095e-01	4.542384e-01	4.542384e-01
6.000000e-01	8.000000e-01	2.052421e+00	1.117212e+00	1.117212e+00
8.000000e-01	1.000000e+00	1.997805e+00	1.098374e+00	1.098374e+00
1.000000e+00	1.200000e+00	6.680667e-01	3.746377e-01	3.746377e-01
1.200000e+00	1.400000e+00	6.892510e-01	3.687436e-01	3.687436e-01
1.400000e+00	1.600000e+00	8.740605e-01	5.336229e-01	5.336229e-01
1.600000e+00	1.800000e+00	2.060163e+00	1.341738e+00	1.341738e+00
1.800000e+00	2.000000e+00	2.035359e+00	1.072381e+00	1.072381e+00
2.000000e+00	2.200000e+00	9.942749e-01	4.365574e-01	4.365574e-01
2.200000e+00	2.400000e+00	1.739828e+00	1.130062e+00	1.130062e+00
2.400000e+00	2.600000e+00	3.443735e-01	1.648362e-01	1.648362e-01
2.600000e+00	2.800000e+00	8.799451e-01	6.608609e-01	6.608609e-01
2.800000e+00	3.000000e+00	3.063168e-01	1.867943e-01	1.867943e-01
3.000000e+00	3.200000e+00	5.494330e-01	2.721181e-01	2.721181e-01
3.200000e+00	3.400000e+00	6.853922e-01	3.042344e-01	3.042344e-01
3.400000e+00	3.600000e+00	3.303837e-01	1.732253e-01	1.732253e-01
3.600000e+00	3.800000e+00	1.289733e+00	7.991059e-01	7.991059e-01
3.800000e+00	4.000000e+00	6.299134e-01	4.525386e-01	4.525386e-01
4.000000e+00	4.200000e+00	2.767850e-01	2.531800e-01	2.531800e-01
4.200000e+00	4.400000e+00	1.902879e-01	2.006915e-01	2.006915e-01
4.400000e+00	4.600000e+00	5.995666e-01	5.569352e-01	5.569352e-01
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

