# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity $+/-$ ratio of second jet
XLabel=$|y(\text{jet 2}|$
YLabel=$y(\text{jet 2})_+/y(\text{jet 2})_-$
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_pmratio_2
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_pmratio_2
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_pmratio_2
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jet_y_pmratio_2
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	4.763493e+00	3.457802e+00	3.457802e+00
2.000000e-01	4.000000e-01	1.827900e-01	1.010701e-01	1.010701e-01
4.000000e-01	6.000000e-01	7.845243e+00	5.406545e+00	5.406545e+00
6.000000e-01	8.000000e-01	4.984286e-01	3.126440e-01	3.126440e-01
8.000000e-01	1.000000e+00	1.258991e+00	6.924477e-01	6.924477e-01
1.000000e+00	1.200000e+00	2.093975e+00	1.493475e+00	1.493475e+00
1.200000e+00	1.400000e+00	1.322287e+00	1.101364e+00	1.101364e+00
1.400000e+00	1.600000e+00	8.565609e-01	6.001525e-01	6.001525e-01
1.600000e+00	1.800000e+00	8.816869e-01	6.689307e-01	6.689307e-01
1.800000e+00	2.000000e+00	8.999731e-01	6.377690e-01	6.377690e-01
2.000000e+00	2.200000e+00	1.444489e+01	1.291568e+01	1.291568e+01
2.200000e+00	2.400000e+00	1.984121e+00	1.662255e+00	1.662255e+00
2.400000e+00	2.600000e+00	1.040646e+00	6.825295e-01	6.825295e-01
2.600000e+00	2.800000e+00	7.252317e-01	4.217307e-01	4.217307e-01
2.800000e+00	3.000000e+00	2.052375e+00	2.089461e+00	2.089461e+00
3.000000e+00	3.200000e+00	5.868282e-01	6.517959e-01	6.517959e-01
3.200000e+00	3.400000e+00	2.830839e+00	2.129484e+00	2.129484e+00
3.400000e+00	3.600000e+00	2.994282e+00	3.828315e+00	3.828315e+00
3.600000e+00	3.800000e+00	nan	nan	nan
3.800000e+00	4.000000e+00	6.234055e-01	7.819796e-01	7.819796e-01
4.000000e+00	4.200000e+00	5.577929e+00	6.082898e+00	6.082898e+00
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

