# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta R$ separation between jets
LegendXPos=0.10
LegendYPos=0.5
XLabel=$\Delta{R}(\text{jet 1, jet 3})$
YLabel=$\text{d}\sigma/\text{d}\Delta{R}(\text{jet 1, jet 3})$ [pb]
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jets_dR_13
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jets_dR_13
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jets_dR_13
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jets_dR_13
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	6.000000e-01	3.892669e+04	2.916174e+04	2.916174e+04
6.000000e-01	8.000000e-01	2.008052e+04	2.008052e+04	2.008052e+04
8.000000e-01	1.000000e+00	2.724183e+04	1.980306e+04	1.980306e+04
1.000000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+00	1.600000e+00	3.909233e+04	3.909233e+04	3.909233e+04
1.600000e+00	1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+00	2.000000e+00	6.338090e+04	4.723708e+04	4.723708e+04
2.000000e+00	2.200000e+00	1.783796e+05	9.122656e+04	9.122656e+04
2.200000e+00	2.400000e+00	1.231075e+04	1.231074e+04	1.231074e+04
2.400000e+00	2.600000e+00	6.022865e+04	4.611694e+04	4.611694e+04
2.600000e+00	2.800000e+00	4.098117e+04	2.450108e+04	2.450108e+04
2.800000e+00	3.000000e+00	1.192287e+05	5.376607e+04	5.376607e+04
3.000000e+00	3.200000e+00	2.352812e+05	1.912239e+05	1.912239e+05
3.200000e+00	3.400000e+00	7.350585e+04	5.479238e+04	5.479238e+04
3.400000e+00	3.600000e+00	3.072698e+04	1.778036e+04	1.778036e+04
3.600000e+00	3.800000e+00	1.296820e+05	1.296820e+05	1.296820e+05
3.800000e+00	4.000000e+00	4.848347e+04	3.797959e+04	3.797959e+04
4.000000e+00	4.200000e+00	6.546125e+04	6.546125e+04	6.546125e+04
4.200000e+00	4.400000e+00	8.107115e+04	5.667724e+04	5.667724e+04
4.400000e+00	4.600000e+00	1.702514e+04	1.702514e+04	1.702514e+04
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	1.029020e+04	1.029021e+04	1.029021e+04
# END HISTO1D

