# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendYPos=0.5
LegendXPos=0.30
XLabel=$\Delta\eta(\text{jet 1, jet 3})$
YLabel=$\text{d}\sigma/\text{d}\Delta\eta(\text{jet 1, jet 3})$ [pb]
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jets_deta_13
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jets_deta_13
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jets_deta_13
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jets_deta_13
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-3.800000e+00	2.651455e+04	2.651456e+04	2.651456e+04
-3.800000e+00	-3.400000e+00	7.948905e+03	7.948903e+03	7.948903e+03
-3.400000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.600000e+00	3.084923e+04	2.531425e+04	2.531425e+04
-2.600000e+00	-2.200000e+00	4.775945e+03	4.775946e+03	4.775946e+03
-2.200000e+00	-1.800000e+00	7.099637e+04	6.513251e+04	6.513251e+04
-1.800000e+00	-1.400000e+00	9.279157e+03	9.279157e+03	9.279157e+03
-1.400000e+00	-1.000000e+00	3.114475e+04	2.190564e+04	2.190564e+04
-1.000000e+00	-6.000000e-01	4.203502e+04	1.982988e+04	1.982988e+04
-6.000000e-01	-2.000000e-01	3.979093e+04	2.559941e+04	2.559941e+04
-2.000000e-01	2.000000e-01	2.718057e+04	1.704767e+04	1.704767e+04
2.000000e-01	6.000000e-01	3.406040e+04	1.946031e+04	1.946031e+04
6.000000e-01	1.000000e+00	3.633038e+04	1.833057e+04	1.833057e+04
1.000000e+00	1.400000e+00	7.585680e+04	4.428142e+04	4.428142e+04
1.400000e+00	1.800000e+00	1.157329e+05	9.693980e+04	9.693980e+04
1.800000e+00	2.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+00	2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+00	3.000000e+00	1.058755e+04	7.498379e+03	7.498379e+03
3.000000e+00	3.400000e+00	4.497670e+04	3.494654e+04	3.494654e+04
3.400000e+00	3.800000e+00	3.762913e+04	2.135867e+04	2.135867e+04
3.800000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

