# BEGIN PLOT
Legend=1
LogY=1
Title=Azimuthal separation between jets
LegendXPos=0.1
XLabel=$\Delta\phi(\text{jet 2, jet 3})$
YLabel=$\text{d}\sigma/\text{d}\Delta\phi(\text{jet 2, jet 3})$ [pb]
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jets_dphi_23
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_JETS/jets_dphi_23
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_JETS/jets_dphi_23
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_JETS/jets_dphi_23
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.545626e+04	1.545626e+04	1.545626e+04
1.256637e-01	2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.513274e-01	3.769911e-01	3.704624e+05	3.061401e+05	3.061401e+05
3.769911e-01	5.026548e-01	3.277008e+04	3.277008e+04	3.277008e+04
5.026548e-01	6.283185e-01	3.948840e+04	3.948840e+04	3.948840e+04
6.283185e-01	7.539822e-01	4.141554e+04	2.975023e+04	2.975023e+04
7.539822e-01	8.796459e-01	1.139894e+05	8.204885e+04	8.204885e+04
8.796459e-01	1.005310e+00	2.266254e+05	2.073838e+05	2.073838e+05
1.005310e+00	1.130973e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.130973e+00	1.256637e+00	4.820570e+04	3.453318e+04	3.453318e+04
1.256637e+00	1.382301e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.382301e+00	1.507964e+00	5.004689e+04	2.891055e+04	2.891055e+04
1.507964e+00	1.633628e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.633628e+00	1.759292e+00	1.731672e+04	1.731672e+04	1.731672e+04
1.759292e+00	1.884956e+00	4.886447e+04	3.529835e+04	3.529835e+04
1.884956e+00	2.010619e+00	8.758481e+04	5.085960e+04	5.085960e+04
2.010619e+00	2.136283e+00	2.289653e+04	2.289653e+04	2.289653e+04
2.136283e+00	2.261947e+00	1.435597e+05	1.018934e+05	1.018934e+05
2.261947e+00	2.387610e+00	1.193878e+05	1.052887e+05	1.052887e+05
2.387610e+00	2.513274e+00	5.697524e+04	5.697523e+04	5.697523e+04
2.513274e+00	2.638938e+00	2.864037e+05	1.536913e+05	1.536913e+05
2.638938e+00	2.764602e+00	4.181589e+04	4.181589e+04	4.181589e+04
2.764602e+00	2.890265e+00	3.370139e+04	2.386821e+04	2.386821e+04
2.890265e+00	3.015929e+00	1.153169e+05	7.616930e+04	7.616930e+04
3.015929e+00	3.141593e+00	1.430082e+05	7.939258e+04	7.939258e+04
# END HISTO1D

